Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
ERR8774458_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0003104040795964747)	(15, 0.0009755556787317777)	(20, 0.0012416163183858989)	(25, 0.0015520203979823735)	(30, 0.0019511113574635554)	(35, 0.0030596973560223935)	(40, 0.006119394712044787)	(45, 0.009267778947951886)	(50, 0.014145557341610776)	(55, 0.02004323485394379)	(60, 0.025364447647026216)	(65, 0.031528185799013356)	(70, 0.03680505515215343)	(75, 0.04394434898287235)	(80, 0.052591319771631284)	(85, 0.06137132088021728)	(90, 0.07321101934482568)	(95, 0.08553849564879995)	(100, 0.09901890139127542)	(105, 0.11808658056648744)	(110, 0.13538052214400534)	(115, 0.15489163571864087)	(120, 0.1793248711268777)	(125, 0.20619699573194392)	(130, 0.23572972673355136)	(135, 0.2703619533285294)	(140, 0.2968793304140569)
ERR8774458_1 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.00022171719971176765)	(5, 0.00022171719971176765)	(6, 0.0015520203979823735)	(7, 0.0015520203979823735)	(8, 0.0035474751953882824)	(9, 0.0035474751953882824)	(10, 0.004079596474696525)	(15, 0.005365556233024776)	(20, 0.006917576631007151)	(25, 0.009489496147663656)	(30, 0.01219444598414722)	(35, 0.014544648301091955)	(40, 0.015608890859708444)	(45, 0.017914749736710825)	(50, 0.02212737653123441)	(55, 0.026872124605066237)	(60, 0.031882933318552194)	(65, 0.03831273211019345)	(70, 0.04443212682223824)	(75, 0.05032980433457125)	(80, 0.054409400809267774)	(85, 0.0597306136023502)	(90, 0.06589435175433735)	(95, 0.07192505958649742)	(100, 0.07729061581952221)	(105, 0.08513940468931877)	(110, 0.09267778947951888)	(115, 0.09963970955046837)	(120, 0.10904051881824732)	(125, 0.11724405520758274)	(130, 0.12620143007593815)	(135, 0.1336511279862535)	(140, 0.13812981542043123)
ERR8774458_1 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0006208081591929494)	(25, 0.006208081591929494)	(30, 0.02022060861371321)	(35, 0.036938085471980485)	(40, 0.05662657280638546)	(45, 0.07724627237957984)	(50, 0.09830940635219779)	(55, 0.11742142896735215)	(60, 0.13462668366498529)	(65, 0.15045729172440553)	(70, 0.17258466825563992)	(75, 0.19732830774347318)	(80, 0.21963305803447702)	(85, 0.24140568704617263)	(90, 0.2588326589435176)	(95, 0.2779446815586719)	(100, 0.29581508785544036)	(105, 0.31222216063411123)	(110, 0.32592428357629843)	(115, 0.3398924671581398)	(120, 0.3528850950612493)	(125, 0.3653456016850507)	(130, 0.3794468155867191)	(135, 0.39155257469098165)	(140, 0.40197328307743474)
ERR8774458_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.00017737375976941411)	(35, 0.0008425253589047169)	(40, 0.003104040795964747)	(45, 0.006075051272102433)	(50, 0.010065960866914251)	(55, 0.014988082700515493)	(60, 0.019688487334404967)	(65, 0.025719195166565047)	(70, 0.030996064519705113)	(75, 0.03760323707111579)	(80, 0.04576243002050884)	(85, 0.05463111800897955)	(90, 0.06624909927387616)	(95, 0.07848788869796575)	(100, 0.09232304195998005)	(105, 0.11134637769524972)	(110, 0.128817693032537)	(115, 0.14766365500803724)	(120, 0.171210021617427)	(125, 0.19737265118341557)	(130, 0.22535336178704063)	(135, 0.2594534671027105)	(140, 0.28623690482789205)
ERR8774464_1 - polyg	(1, 0.00012603426871766432)	(2, 0.00012603426871766432)	(3, 0.00012603426871766432)	(4, 0.00012603426871766432)	(5, 0.005293439286141902)	(6, 0.0054194735548595665)	(7, 0.0054194735548595665)	(8, 0.009704638691260153)	(9, 0.010208775766130811)	(10, 0.021879549049386528)	(15, 0.0432549610239024)	(20, 0.07264615248886172)	(25, 0.10526382123299324)	(30, 0.13992324513035093)	(35, 0.1711041232111011)	(40, 0.2046292386899998)	(45, 0.23853245697505154)	(50, 0.26777240731754964)	(55, 0.2928784336461084)	(60, 0.3170265995324128)	(65, 0.340872283173795)	(70, 0.3646927599614335)	(75, 0.38831158191912385)	(80, 0.40953575277117854)	(85, 0.4292475123986212)	(90, 0.44906009944103803)	(95, 0.4672090341363817)	(100, 0.48308935199480735)	(105, 0.4977345340198)	(110, 0.5102875471840795)	(115, 0.5228657672021022)	(120, 0.5335282663356167)	(125, 0.5431320776119026)	(130, 0.5536685424766994)	(135, 0.5659694871035434)	(140, 0.5723216142469137)
ERR8774480_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 2.6512118689452946e-05)	(25, 0.0002651211868945295)	(30, 0.0017232877148144414)	(35, 0.003870769328660131)	(40, 0.008669462811451114)	(45, 0.01511190765298818)	(50, 0.021183182832872908)	(55, 0.026591655045521308)	(60, 0.03178803030865408)	(65, 0.03815093879412279)	(70, 0.04602503804489032)	(75, 0.053660528227452764)	(80, 0.06095136086705233)	(85, 0.07179481741103859)	(90, 0.0836192223465346)	(95, 0.09493989702693102)	(100, 0.10854061391462037)	(105, 0.12253901258265154)	(110, 0.13887047769535452)	(115, 0.15658057297990913)	(120, 0.1774456103885086)	(125, 0.1992385719512389)	(130, 0.22604232394627582)	(135, 0.2574061603558987)	(140, 0.2771842008982306)
ERR8774480_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.00010604847475781178)	(25, 0.0003976817803417942)	(30, 0.001988408901708971)	(35, 0.004082866278175753)	(40, 0.008775511286208926)	(45, 0.01484678646609365)	(50, 0.02075898893384166)	(55, 0.025796291484837718)	(60, 0.030833594035833783)	(65, 0.03687835709702905)	(70, 0.0449115290599333)	(75, 0.053262846447110976)	(80, 0.061004385104431236)	(85, 0.07187435376710694)	(90, 0.08364573446522405)	(95, 0.0948338485521732)	(100, 0.10814293213427857)	(105, 0.12195574597148355)	(110, 0.13810162625336042)	(115, 0.1557586973005361)	(120, 0.17672978318389335)	(125, 0.1979394781354557)	(130, 0.22421298775670356)	(135, 0.2554972878102581)	(140, 0.27506323140307437)
ERR8774482_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 4.880000780800125e-05)	(30, 0.0006588001054080169)	(35, 0.003464800554368089)	(40, 0.008808401409344224)	(45, 0.01363960218233635)	(50, 0.020471603275456524)	(55, 0.02696200431392069)	(60, 0.034404005504640886)	(65, 0.04196800671488107)	(70, 0.04921480787436926)	(75, 0.05799880927980949)	(80, 0.06832001093120174)	(85, 0.07886081261773001)	(90, 0.09198801471808235)	(95, 0.10411481665837066)	(100, 0.11826681892269104)	(105, 0.13481002156960345)	(110, 0.1511092241774759)	(115, 0.1687748270039723)	(120, 0.18988083038093287)	(125, 0.21176763388282144)	(130, 0.23619203779072606)	(135, 0.2649108423857348)	(140, 0.2858460457353673)
ERR8774482_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0005368000858880138)	(35, 0.003318400530944085)	(40, 0.00861320137811222)	(45, 0.013444402151104342)	(50, 0.020178803228608516)	(55, 0.02654720424755268)	(60, 0.034013605442176874)	(65, 0.041480006636801056)	(70, 0.048800007808001256)	(75, 0.05741320918611348)	(80, 0.06758801081408174)	(85, 0.07776281244205)	(90, 0.09091441454630632)	(95, 0.10279721644755464)	(100, 0.11682721869235499)	(105, 0.13322402131584338)	(110, 0.1493768239002918)	(115, 0.16674962667994028)	(120, 0.18780683004909285)	(125, 0.20981563357050134)	(130, 0.23433763749402203)	(135, 0.2631784421085507)	(140, 0.28389404542304725)
ERR8774487_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.00010484085158729049)	(30, 0.0014677719222220668)	(35, 0.0045431035687825885)	(40, 0.009505570543914339)	(45, 0.01611054419391364)	(50, 0.022261207487034678)	(55, 0.030962998168779794)	(60, 0.039594894949466705)	(65, 0.04871604903756098)	(70, 0.05790709702671345)	(75, 0.06751750842221507)	(80, 0.07842095698729329)	(85, 0.09103680612829725)	(90, 0.10456127598305771)	(95, 0.1190642604526329)	(100, 0.13216936690104422)	(105, 0.14964284216559265)	(110, 0.16903839970924137)	(115, 0.1895522596698212)	(120, 0.21300166347484514)	(125, 0.2391769294211387)	(130, 0.26391937039573926)	(135, 0.29554636062457196)	(140, 0.3174930455568447)
ERR8774487_1 - polya	(1, 0.0005242042579364525)	(2, 0.0005242042579364525)	(3, 0.0005242042579364525)	(4, 0.0006989390105819366)	(5, 0.033898542013223926)	(6, 0.033898542013223926)	(7, 0.05486671233068202)	(8, 0.06762234927380237)	(9, 0.0683212882843843)	(10, 0.06929980289919901)	(15, 0.07024337056348465)	(20, 0.07073262787089199)	(25, 0.07094230957406657)	(30, 0.07209555894152676)	(35, 0.07265471014999232)	(40, 0.07279449795210871)	(45, 0.07321386135845787)	(50, 0.07468163328067992)	(55, 0.0760096174007856)	(60, 0.07663866251030936)	(65, 0.07737254847142037)	(70, 0.07884032039364244)	(75, 0.07971399415686989)	(80, 0.08030809231586451)	(85, 0.0814962886338538)	(90, 0.08250975019919761)	(95, 0.08443183247829794)	(100, 0.08761200497644576)	(105, 0.09320351706110123)	(110, 0.099249339502635)	(115, 0.10550484364734333)	(120, 0.11375232397221018)	(125, 0.12241916770342623)	(130, 0.13094622363252584)	(135, 0.13961306736374185)	(140, 0.14642772271691573)
ERR8774487_2 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.00010484085158729049)	(30, 0.001258090219047486)	(35, 0.0040887932119043294)	(40, 0.008806631533332401)	(45, 0.0154116051833317)	(50, 0.021667109328040036)	(55, 0.030264059158197854)	(60, 0.038965849839942966)	(65, 0.04812195087856634)	(70, 0.05738289276877699)	(75, 0.06699330416427862)	(80, 0.07775696492724045)	(85, 0.09065238967247717)	(90, 0.10421180647776676)	(95, 0.11833037449152187)	(100, 0.1312956931378168)	(105, 0.1490836909571271)	(110, 0.16826956679760124)	(115, 0.1886086920055356)	(120, 0.21160378545368133)	(125, 0.23795378615262033)	(130, 0.2626263332261627)	(135, 0.2943931112571117)	(140, 0.3164446370409718)
ERR8774512_1 - nextera_transposase_sequence	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.00010545842248964134)	(15, 0.00010545842248964134)	(20, 0.00010545842248964134)	(25, 0.0002741918984730675)	(30, 0.0019404349738094007)	(35, 0.005441654600465494)	(40, 0.012507368907271466)	(45, 0.021492426503388905)	(50, 0.030456392415008422)	(55, 0.04142406835393112)	(60, 0.052159735763376604)	(65, 0.06323287012478895)	(70, 0.074980938390135)	(75, 0.0860962561205432)	(80, 0.1001222263116655)	(85, 0.11602535642310341)	(90, 0.13595699827364563)	(95, 0.1584618256329351)	(100, 0.18100883636122042)	(105, 0.20878658484499196)	(110, 0.24141542076328698)	(115, 0.27796730999819663)	(120, 0.3181680606512479)	(125, 0.36539234224210937)	(130, 0.41814264517142796)	(135, 0.47595495238024926)	(140, 0.5151643938618979)
