Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR8774458_1	(1, 0.005321212793082424)	(2, 0.001330303198270606)	(3, 0.003104040795964747)	(4, 0.009977273987029543)	(5, 0.0015520203979823735)	(6, 0.003990909594811818)	(7, 0.00044343439942353525)	(8, 0.00022171719971176762)	(9, 0.00022171719971176762)	(10, 0.007227980710603625)	(15, 0.009977273987029543)	(20, 0.009844243667202483)	(25, 0.007139293830718919)	(30, 0.0024832326367717978)	(35, 0.003724848955157696)	(40, 0.004877778393658888)	(45, 0.002438889196829444)	(50, 0.004922121833601242)	(55, 0.007272324150545979)	(60, 0.004123939914638879)	(65, 0.004079596474696524)	(70, 0.005897677512333019)	(75, 0.007494041350257746)	(80, 0.006119394712044787)	(85, 0.0062967684718142)	(90, 0.004478687434177706)	(95, 0.003990909594811818)	(100, 0.009711213347375423)	(105, 0.026428690205642702)	(110, 0.023945457568870905)	(115, 0.03161687267889807)	(120, 0.009932930547087191)	(125, 0.036006873233191065)	(130, 0.01924505293498143)	(135, 0.04239232858488997)	(140, 0.07294495870517156)	(145, 0.10904051881824733)	(150, 0.06285682611828614)
ERR8774458_2	(1, 0.061415664320159644)	(2, 0.06318940191785379)	(3, 0.07870960589767752)	(4, 0.09489496147663655)	(5, 0.09888587107144836)	(6, 0.07272324150545978)	(7, 0.06651515991353028)	(8, 0.055651017127653676)	(9, 0.06651515991353028)	(10, 0.06203647247935259)	(15, 0.05352253201042071)	(20, 0.0540103098497866)	(25, 0.059021118563272544)	(30, 0.0572473809655784)	(35, 0.07684718142009866)	(40, 0.09689041627404246)	(45, 0.07831051493819632)	(50, 0.07525081758217393)	(55, 0.07773405021894574)	(60, 0.07627071670084806)	(65, 0.06722465495260795)	(70, 0.05471980488886425)	(75, 0.05174879441272657)	(80, 0.056183138406961916)	(85, 0.057735158804944293)	(90, 0.05449808768915248)	(95, 0.052325259131977164)	(100, 0.06101657336067846)	(105, 0.06571697799456794)	(110, 0.07507344382240452)	(115, 0.07919738373704341)	(120, 0.07329970622471038)	(125, 0.07950778781663988)	(130, 0.054897178648633665)	(135, 0.034454852835208695)	(140, 0.04478687434177706)	(145, 0.05959758328252314)	(150, 0.0657391497145391)
ERR8774464_1	(1, 0.03730614354042864)	(2, 0.007183953316906867)	(3, 0.00012603426871766435)	(4, 0.003528959524094601)	(5, 0.000756205612305986)	(6, 0.004411199405118252)	(7, 0.003528959524094601)	(8, 0.005545507823577231)	(9, 0.013359632484072419)	(10, 0.016056765834630435)	(15, 0.022484513539231317)	(20, 0.02752588428793789)	(25, 0.0217787216344124)	(30, 0.012074082943152244)	(35, 0.011494325307050987)	(40, 0.010360016888592009)	(45, 0.019384070528776776)	(50, 0.026870506090606035)	(55, 0.024778337229892807)	(60, 0.021224170852054674)	(65, 0.0234675808352291)	(70, 0.022005583318104194)	(75, 0.027072160920554297)	(80, 0.0414148607006245)	(85, 0.023971717910099756)	(90, 0.020140276141082762)	(95, 0.020669620069696953)	(100, 0.014922457416171455)	(105, 0.01998903501862156)	(110, 0.020291517263543956)	(115, 0.02392130420261269)	(120, 0.020619206362209885)	(125, 0.0841404777959127)	(130, 0.059715036518429354)	(135, 0.11048163995790457)	(140, 0.12527806310535836)	(145, 0.10531423494048033)	(150, 0.05564412963884881)
ERR8774464_2	(1, 0.03554166377838134)	(2, 0.04184337721426456)	(3, 0.05822783214756092)	(4, 0.06415144277729114)	(5, 0.08040986344186984)	(6, 0.07826728087366955)	(7, 0.07524245842444562)	(8, 0.06591592253933845)	(9, 0.0707052247506097)	(10, 0.06712585151902802)	(15, 0.059513381688481096)	(20, 0.06024438044704355)	(25, 0.06417664963103467)	(30, 0.07110853441050621)	(35, 0.08288013510873607)	(40, 0.10768367919237241)	(45, 0.08865250461600509)	(50, 0.08678719743898367)	(55, 0.08729133451385432)	(60, 0.08761902361252023)	(65, 0.07612469830546927)	(70, 0.06533616490323718)	(75, 0.06394978794734288)	(80, 0.06485723468211006)	(85, 0.06515971692703246)	(90, 0.06077372437565774)	(95, 0.05742121282776787)	(100, 0.06815933252251287)	(105, 0.07559535437685506)	(110, 0.08524957936062816)	(115, 0.09082029403794892)	(120, 0.0849723039694493)	(125, 0.0888793662996969)	(130, 0.061353482011759)	(135, 0.044036373489951916)	(140, 0.05174967073547298)	(145, 0.0688651244273318)	(150, 0.0726587559157335)
ERR8774480_1	(1, 0.04520316236551728)	(2, 0.008351317387177678)	(3, 0.0)	(4, 0.0053024237378905895)	(5, 0.0009279241541308533)	(6, 0.004507060177207001)	(7, 0.0033140148361816184)	(8, 0.006495469078915972)	(9, 0.0139188623119628)	(10, 0.01869104367606433)	(15, 0.02542512182318538)	(20, 0.030833594035833783)	(25, 0.024974415805464677)	(30, 0.013733277481136626)	(35, 0.012646280614869056)	(40, 0.012328135190595621)	(45, 0.02219064334307212)	(50, 0.029852645644324022)	(55, 0.028129357929509578)	(60, 0.024576734025122882)	(65, 0.026644679282900215)	(70, 0.02516000063629085)	(75, 0.03064800920500761)	(80, 0.046634816774747734)	(85, 0.027546091318341615)	(90, 0.023754858345749842)	(95, 0.024205564363470544)	(100, 0.0179752164714491)	(105, 0.021130158595494)	(110, 0.02184598580010923)	(115, 0.02571675512876936)	(120, 0.022959494785066252)	(125, 0.08979654600117715)	(130, 0.0638411818042027)	(135, 0.12129294300424726)	(140, 0.13322339641450107)	(145, 0.11707751613262422)	(150, 0.061508115359530845)
ERR8774480_2	(1, 0.04109378396865207)	(2, 0.0481194954213571)	(3, 0.06694309969086869)	(4, 0.07158272046152296)	(5, 0.08974352176379823)	(6, 0.08563414336693302)	(7, 0.083115492091435)	(8, 0.07224552342875928)	(9, 0.07847587132078072)	(10, 0.07532092919673583)	(15, 0.06779148748893118)	(20, 0.06848080257485697)	(25, 0.07277576580254835)	(30, 0.0791121621693276)	(35, 0.09162588219074938)	(40, 0.11848265842316523)	(45, 0.09804181491359701)	(50, 0.09552316363809897)	(55, 0.0970873786407767)	(60, 0.0974850604211185)	(65, 0.08351317387177679)	(70, 0.07373020207536865)	(75, 0.07121155079987061)	(80, 0.07333252029502685)	(85, 0.07399532326226317)	(90, 0.06932919037291946)	(95, 0.06492817867047027)	(100, 0.0756125625023198)	(105, 0.08319502844750334)	(110, 0.095231530332515)	(115, 0.10106419644419465)	(120, 0.09486036067086265)	(125, 0.099738590509722)	(130, 0.06858685104961477)	(135, 0.050532098222097324)	(140, 0.05808805204859141)	(145, 0.07725631386106589)	(150, 0.08251896942092231)
ERR8774482_1	(1, 0.007686001229760197)	(2, 0.0021960003513600565)	(3, 0.0032940005270400844)	(4, 0.015372002459520393)	(5, 0.0031720005075200814)	(6, 0.005246000839360134)	(7, 0.0006100000976000156)	(8, 0.0007320001171200188)	(9, 0.00024400003904000625)	(10, 0.005319200851072136)	(15, 0.008393601342976216)	(20, 0.008857201417152226)	(25, 0.006295201007232161)	(30, 0.0012444001991040318)	(35, 0.002537600406016065)	(40, 0.0036600005856000936)	(45, 0.0013908002225280355)	(50, 0.0039040006246401)	(55, 0.006490401038464166)	(60, 0.0026352004216320672)	(65, 0.0024156003864960617)	(70, 0.004196800671488108)	(75, 0.005685200909632146)	(80, 0.004465200714432114)	(85, 0.003855200616832099)	(90, 0.0031720005075200814)	(95, 0.0023668003786880606)	(100, 0.007564001210240194)	(105, 0.02579080412652866)	(110, 0.023350803736128595)	(115, 0.03150040504006481)	(120, 0.009857601577216253)	(125, 0.040016006402561026)	(130, 0.020374003259840522)	(135, 0.04565240730438517)	(140, 0.07278521164563387)	(145, 0.12038961926233908)	(150, 0.07069901131184181)
ERR8774482_2	(1, 0.06575801052128168)	(2, 0.06734401077504173)	(3, 0.08674201387872223)	(4, 0.10187001629920261)	(5, 0.11028801764608283)	(6, 0.08466801354688216)	(7, 0.07515201202432192)	(8, 0.06124400979904157)	(9, 0.07576201212192195)	(10, 0.07080881132940982)	(15, 0.060024009603841535)	(20, 0.06107320977171356)	(25, 0.06683161069305771)	(30, 0.06375721020115363)	(35, 0.08891361422617827)	(40, 0.11006841761094681)	(45, 0.09135361461657834)	(50, 0.08835241413638625)	(55, 0.09174401467904235)	(60, 0.08842561414809827)	(65, 0.07693321230931396)	(70, 0.06085360973657756)	(75, 0.05787680926028948)	(80, 0.06483081037292966)	(85, 0.06475761036121766)	(90, 0.06136600981856157)	(95, 0.05851120936179349)	(100, 0.06895441103270576)	(105, 0.07483481197356992)	(110, 0.08771801403488225)	(115, 0.09293961487033837)	(120, 0.08542441366790618)	(125, 0.09284201485472238)	(130, 0.06146360983417757)	(135, 0.03742960598873696)	(140, 0.049605207936833276)	(145, 0.06670961067353771)	(150, 0.07570101211216193)
ERR8774487_1	(1, 0.005766246837300978)	(2, 0.0019220822791003256)	(3, 0.0026210212896822624)	(4, 0.006814655353173882)	(5, 0.003319960300264199)	(6, 0.004368368816137103)	(7, 0.0006989390105819366)	(8, 0.0003494695052909683)	(9, 0.0)	(10, 0.006604973649999301)	(15, 0.00982009309867621)	(20, 0.009086207137565177)	(25, 0.006604973649999301)	(30, 0.0018871353285712289)	(35, 0.003075331646560521)	(40, 0.004717838321428073)	(45, 0.0017124005759257448)	(50, 0.004123740162433426)	(55, 0.007024337056348463)	(60, 0.003215119448676909)	(65, 0.003494695052909683)	(70, 0.005137201727777234)	(75, 0.006535079748941107)	(80, 0.005311936480422718)	(85, 0.004752785271957169)	(90, 0.004228581014020716)	(95, 0.0032500663992060057)	(100, 0.008631896780686918)	(105, 0.02603547814417714)	(110, 0.024462865370367782)	(115, 0.03145225547618715)	(120, 0.011043236367194597)	(125, 0.04008415225687406)	(130, 0.02219131358597649)	(135, 0.04784237527433356)	(140, 0.07957420635475349)	(145, 0.12713700602485425)	(150, 0.07146651383200302)
ERR8774487_2	(1, 0.05678879460978235)	(2, 0.05818667263094622)	(3, 0.07635908690607657)	(4, 0.09365782741797951)	(5, 0.10012301326586243)	(6, 0.07583488264814013)	(7, 0.07006863581083914)	(8, 0.05661405985713687)	(9, 0.06936969680025722)	(10, 0.06388302556718901)	(15, 0.053189258705285375)	(20, 0.0539930385674546)	(25, 0.0595146567510519)	(30, 0.05717321106560242)	(35, 0.08146134168332471)	(40, 0.10323329186295203)	(45, 0.0838726812698324)	(50, 0.08090219047485916)	(55, 0.08401246907194879)	(60, 0.08118176607909194)	(65, 0.07017347666242643)	(70, 0.053888197715867316)	(75, 0.050708025217719506)	(80, 0.05710331716454422)	(85, 0.05801193787830074)	(90, 0.05500650013279841)	(95, 0.05116233557459776)	(100, 0.06248514754602513)	(105, 0.0683212882843843)	(110, 0.07999356976110264)	(115, 0.08520066538993808)	(120, 0.07807148748200232)	(125, 0.08565497574681634)	(130, 0.0551462879349148)	(135, 0.03180172498147811)	(140, 0.043089590002376395)	(145, 0.06042327746480842)	(150, 0.07050547269245286)
