Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR8774458_1	(1, 23.43218446871016)	(2, 27.149209023890027)	(3, 30.016458067734604)	(4, 30.948277811651238)	(5, 31.636142120725015)	(6, 34.62888753395045)	(7, 34.784049664652734)	(8, 34.91157031206696)	(9, 34.86763704894407)	(10, 34.94088975112244)	(15, 34.97131910647968)	(20, 34.94457025663766)	(25, 34.96392616817249)	(30, 34.94392106867691)	(35, 34.90657324981986)	(40, 34.90380621916745)	(45, 34.87913663322432)	(50, 34.800952497089966)	(55, 34.800366276813925)	(60, 34.75153395044621)	(65, 34.692383792472704)	(70, 34.544798181918964)	(75, 34.4475410453966)	(80, 34.4197731833047)	(85, 34.347943462114074)	(90, 34.216225708109306)	(95, 34.21587140402416)	(100, 34.09671481625187)	(105, 33.996780666260186)	(110, 33.93854531345269)	(115, 33.82559946787872)	(120, 33.6553840696192)	(125, 33.39462646194779)	(130, 33.22283997561111)	(135, 32.85235142176154)	(140, 32.60421706113851)	(145, 32.320082035363896)	(150, 29.073375090072613)
ERR8774458_2	(1, 32.76852946067291)	(2, 32.83951000498864)	(3, 32.88403303586276)	(4, 32.786333351809766)	(5, 32.795729726733555)	(6, 36.934227592705504)	(7, 36.94458622027604)	(8, 36.94169946233579)	(9, 36.943074108974)	(10, 36.92098841527631)	(15, 36.83932686658168)	(20, 36.85501779280527)	(25, 36.82679230641317)	(30, 36.79286336677568)	(35, 36.75144127265673)	(40, 36.709095948118176)	(45, 36.673774624466496)	(50, 36.637679507787816)	(55, 36.57929338728452)	(60, 36.493439609777724)	(65, 36.419820187351036)	(70, 36.333232525913196)	(75, 36.20267390942852)	(80, 36.11083199379192)	(85, 36.021870628013964)	(90, 35.83437547807771)	(95, 35.79217959093177)	(100, 35.650729782162855)	(105, 35.40436827226872)	(110, 35.19388636993515)	(115, 34.9020697300593)	(120, 34.583332187794475)	(125, 34.39369613657779)	(130, 34.02641627404246)	(135, 33.70565800121945)	(140, 33.37348350978327)	(145, 33.12734460395765)	(150, 28.95790809822072)
ERR8774464_1	(1, 27.228192605569454)	(2, 29.96759280848463)	(3, 30.650133911410514)	(4, 30.895063867865673)	(5, 30.559404362046042)	(6, 33.88217938457466)	(7, 34.79975927454675)	(8, 34.54032403410487)	(9, 34.800465066451565)	(10, 35.2426510048082)	(15, 35.3133776553845)	(20, 35.33417910729928)	(25, 35.381503462791535)	(30, 35.38295336101886)	(35, 35.36817029750389)	(40, 35.34532129285953)	(45, 35.30633712906539)	(50, 35.26726171646071)	(55, 35.17241210685185)	(60, 35.15707953392528)	(65, 35.10019144605418)	(70, 34.99997000384404)	(75, 34.89266820848589)	(80, 33.77640184766237)	(85, 34.110774291529864)	(90, 34.51583557569303)	(95, 34.48553391267085)	(100, 34.46941967520969)	(105, 34.359081210181046)	(110, 34.280026971333506)	(115, 34.1733671945402)	(120, 34.01458241695917)	(125, 33.746925457031764)	(130, 33.539883922438506)	(135, 33.160601435530324)	(140, 32.84129285952851)	(145, 32.33908058000971)	(150, 28.9917535777978)
ERR8774464_2	(1, 32.462881017348614)	(2, 32.580605846729725)	(3, 32.65049941078979)	(4, 32.59778935892669)	(5, 32.57989375311147)	(6, 36.63922060408225)	(7, 36.6334268087493)	(8, 36.62918953663501)	(9, 36.62618866069684)	(10, 36.607903861059825)	(15, 36.544404267520335)	(20, 36.48815466925457)	(25, 36.4376297995425)	(30, 36.375917371933426)	(35, 36.28992746727836)	(40, 36.21300799687435)	(45, 36.17817061258957)	(50, 36.150810589399256)	(55, 36.043325792282914)	(60, 35.936600729738416)	(65, 35.82993112227215)	(70, 35.667506222942016)	(75, 35.55370433620901)	(80, 35.37152532973716)	(85, 35.05718930977333)	(90, 35.001032724797874)	(95, 34.81566505132746)	(100, 34.48764322219212)	(105, 34.195686351118866)	(110, 33.98904686584282)	(115, 33.60723159427049)	(120, 33.189172900111544)	(125, 32.786176561407046)	(130, 32.37107740394613)	(135, 31.881407802781574)	(140, 31.526333726140138)	(145, 31.138083901012685)	(150, 26.997381638067388)
ERR8774480_1	(1, 29.662772478299832)	(2, 31.298412454332876)	(3, 32.02884253392226)	(4, 32.09633576007593)	(5, 32.34889683074133)	(6, 36.372871739672206)	(7, 36.73742662771153)	(8, 36.868090279066564)	(9, 36.953753585764055)	(10, 37.038175064822134)	(15, 37.054245915808124)	(20, 37.030542225851434)	(25, 37.0599306442975)	(30, 37.0535282327552)	(35, 37.03633857036051)	(40, 37.022569236397956)	(45, 36.998629058342566)	(50, 36.97072505342192)	(55, 36.892246796010454)	(60, 36.895288266266505)	(65, 36.86006691658757)	(70, 36.808222203369155)	(75, 36.74884221577683)	(80, 35.57068051306253)	(85, 35.993273610367304)	(90, 36.43763978514579)	(95, 36.42929536090947)	(100, 36.44454433621608)	(105, 36.354049726129816)	(110, 36.29060490050002)	(115, 36.2090811960147)	(120, 36.079040579448865)	(125, 35.856762711235305)	(130, 35.70399908798312)	(135, 35.41070665401155)	(140, 35.17703838424544)	(145, 34.73160880838631)	(150, 31.087690820974267)
ERR8774480_2	(1, 32.88133175674601)	(2, 32.95181157307005)	(3, 33.01224594762266)	(4, 32.97967448420673)	(5, 32.96321973774212)	(6, 37.11651545921641)	(7, 37.109780055463354)	(8, 37.105160318781714)	(9, 37.096815629424206)	(10, 37.08757403509144)	(15, 37.043263005519826)	(20, 36.99648714427365)	(25, 36.967601130476744)	(30, 36.92765850270159)	(35, 36.86762340065644)	(40, 36.82111133499122)	(45, 36.82039206121118)	(50, 36.81945830439094)	(55, 36.74185256080555)	(60, 36.676271388651756)	(65, 36.624415805464686)	(70, 36.52403880313691)	(75, 36.46038453176948)	(80, 36.34589565890568)	(85, 36.08671159587047)	(90, 36.09913570493073)	(95, 35.99546748818885)	(100, 35.72995683827077)	(105, 35.53352775553706)	(110, 35.42573239727879)	(115, 35.154806912239586)	(120, 34.86857730668689)	(125, 34.56840365230947)	(130, 34.2690807718208)	(135, 33.88365209737371)	(140, 33.59819028277826)	(145, 33.291904789679364)	(150, 28.83139419278552)
ERR8774482_1	(1, 29.843330014932803)	(2, 31.42648400823744)	(3, 32.13996818239491)	(4, 32.207369533179126)	(5, 32.487760958041754)	(6, 36.44917479186797)	(7, 36.79518636722982)	(8, 36.891450482632074)	(9, 36.998285899725744)	(10, 37.07400472384076)	(15, 37.113861642217856)	(20, 37.08939868630379)	(25, 37.117456250793)	(30, 37.104742872758855)	(35, 37.064874486379914)	(40, 37.06846177495389)	(45, 37.046120887379345)	(50, 36.96252330200373)	(55, 36.96759118281459)	(60, 36.926640412262465)	(65, 36.88738910198226)	(70, 36.7653456504553)	(75, 36.69848817575811)	(80, 36.68905318224851)	(85, 36.626007476161206)	(90, 36.49891322382611)	(95, 36.51529294644688)	(100, 36.39136337461814)	(105, 36.298442303750775)	(110, 36.23727832596453)	(115, 36.116684722669554)	(120, 35.94965571594491)	(125, 35.687847334055576)	(130, 35.54796040367366)	(135, 35.1928737348598)	(140, 34.967316682770665)	(145, 34.66727886276461)	(150, 31.00169763027162)
ERR8774482_2	(1, 32.81990113118418)	(2, 32.883902341424374)	(3, 32.92891546862648)	(4, 32.8368762139002)	(5, 32.85106481617037)	(6, 36.9964924994388)	(7, 36.99154173864668)	(8, 36.987157057945126)	(9, 36.985690617710496)	(10, 36.98168706506993)	(15, 36.90113801618209)	(20, 36.91886022701764)	(25, 36.89265023082403)	(30, 36.85807664529226)	(35, 36.8190256590441)	(40, 36.771819703491154)	(45, 36.74782205565153)	(50, 36.714700026352006)	(55, 36.65644965303194)	(60, 36.57574444411911)	(65, 36.50752862120458)	(70, 36.428199328511894)	(75, 36.309616773538686)	(80, 36.22698957631833)	(85, 36.13852614216418)	(90, 35.96224416595906)	(95, 35.92167086346734)	(100, 35.77849554455929)	(105, 35.543316106930575)	(110, 35.34567705130833)	(115, 35.05811958929913)	(120, 34.75518402482944)	(125, 34.5767887642862)	(130, 34.22287207565953)	(135, 33.91326481812237)	(140, 33.59227691076431)	(145, 33.34660278745644)	(150, 29.12421431987429)
ERR8774487_1	(1, 25.07117295944756)	(2, 25.396595468079454)	(3, 28.877240099528915)	(4, 29.801733718215747)	(5, 31.219099906342173)	(6, 34.965530075345626)	(7, 36.30879649691768)	(8, 36.48599850427052)	(9, 36.607124634804364)	(10, 36.8470934621245)	(15, 36.9730716272698)	(20, 36.9886331548709)	(25, 37.01876581349511)	(30, 37.006023456393194)	(35, 36.96953534534576)	(40, 36.97363567105134)	(45, 36.955922459706166)	(50, 36.874549533807674)	(55, 36.88063065266925)	(60, 36.84548275717461)	(65, 36.807763465060034)	(70, 36.68560045850399)	(75, 36.62192606623146)	(80, 36.61500971525224)	(85, 36.56347729147155)	(90, 36.4367634930176)	(95, 36.463156478465685)	(100, 36.34209150509527)	(105, 36.25236975271538)	(110, 36.202085634007574)	(115, 36.091897200050326)	(120, 35.929626626780546)	(125, 35.68133098955785)	(130, 35.5471137313558)	(135, 35.21770517354656)	(140, 35.00046025133847)	(145, 34.72966611683464)	(150, 31.10422316423669)
ERR8774487_2	(1, 32.67059179166026)	(2, 32.74238855417476)	(3, 32.786105441939135)	(4, 32.693752883123416)	(5, 32.70086808225114)	(6, 36.82102792960286)	(7, 36.819275340033826)	(8, 36.81627339698338)	(9, 36.82068894418273)	(10, 36.805370297887805)	(15, 36.721197422312926)	(20, 36.73726288494066)	(25, 36.704777947076344)	(30, 36.66907334665977)	(35, 36.62286334344465)	(40, 36.56630065560479)	(45, 36.53412919188672)	(50, 36.49875484015265)	(55, 36.423381956190504)	(60, 36.32920691390469)	(65, 36.24988432559375)	(70, 36.153906020660635)	(75, 36.02362973006976)	(80, 35.91026636565694)	(85, 35.80880628206383)	(90, 35.611132700560546)	(95, 35.567257153640774)	(100, 35.385688874288824)	(105, 35.11803367488153)	(110, 34.88606280665949)	(115, 34.56137453345821)	(120, 34.21394558060864)	(125, 33.99758132155388)	(130, 33.594366202105206)	(135, 33.24407299719027)	(140, 32.88337643457233)	(145, 32.624118288438154)	(150, 28.462067706221955)
