Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
ERR8774458_1	(6.0, 1.0)	(7.0, 0.0)	(8.0, 2.0)	(9.0, 0.0)	(10.0, 2.0)	(11.0, 1.0)	(12.0, 7.0)	(13.0, 3.0)	(14.0, 1529.0)	(15.0, 24012.0)	(16.0, 22965.0)	(17.0, 3390.0)	(18.0, 781.0)	(19.0, 586.0)	(20.0, 680.0)	(21.0, 708.0)	(22.0, 833.0)	(23.0, 1041.0)	(24.0, 1208.0)	(25.0, 1400.0)	(26.0, 1693.0)	(27.0, 1949.0)	(28.0, 2248.0)	(29.0, 2853.0)	(30.0, 3627.0)	(31.0, 4655.0)	(32.0, 6257.0)	(33.0, 8767.0)	(34.0, 13652.0)	(35.0, 24740.0)	(36.0, 66915.0)	(37.0, 254520.0)				
ERR8774458_2	(2.0, 186.0)	(3.0, 29.0)	(4.0, 15.0)	(5.0, 6.0)	(6.0, 4.0)	(7.0, 6.0)	(8.0, 5.0)	(9.0, 6.0)	(10.0, 7.0)	(11.0, 4.0)	(12.0, 4.0)	(13.0, 3.0)	(14.0, 36.0)	(15.0, 480.0)	(16.0, 862.0)	(17.0, 837.0)	(18.0, 1275.0)	(19.0, 1749.0)	(20.0, 1877.0)	(21.0, 1959.0)	(22.0, 2255.0)	(23.0, 2484.0)	(24.0, 2627.0)	(25.0, 3030.0)	(26.0, 3473.0)	(27.0, 3783.0)	(28.0, 4517.0)	(29.0, 5212.0)	(30.0, 6384.0)	(31.0, 7867.0)	(32.0, 10186.0)	(33.0, 13930.0)	(34.0, 20250.0)	(35.0, 33587.0)	(36.0, 73621.0)	(37.0, 248469.0)
ERR8774464_1	(3.0, 27.0)	(4.0, 10.0)	(5.0, 9.0)	(6.0, 9.0)	(7.0, 8.0)	(8.0, 13.0)	(9.0, 8.0)	(10.0, 9.0)	(11.0, 11.0)	(12.0, 10.0)	(13.0, 19.0)	(14.0, 2838.0)	(15.0, 38325.0)	(16.0, 26985.0)	(17.0, 2976.0)	(18.0, 806.0)	(19.0, 900.0)	(20.0, 1204.0)	(21.0, 1462.0)	(22.0, 1769.0)	(23.0, 2155.0)	(24.0, 2543.0)	(25.0, 3036.0)	(26.0, 3657.0)	(27.0, 4339.0)	(28.0, 5192.0)	(29.0, 6542.0)	(30.0, 8342.0)	(31.0, 10455.0)	(32.0, 13955.0)	(33.0, 19731.0)	(34.0, 30234.0)	(35.0, 55206.0)	(36.0, 138936.0)	(37.0, 411714.0)	
ERR8774464_2	(2.0, 370.0)	(3.0, 48.0)	(4.0, 35.0)	(5.0, 14.0)	(6.0, 13.0)	(7.0, 13.0)	(8.0, 15.0)	(9.0, 9.0)	(10.0, 9.0)	(11.0, 13.0)	(12.0, 12.0)	(13.0, 12.0)	(14.0, 126.0)	(15.0, 1726.0)	(16.0, 2191.0)	(17.0, 2176.0)	(18.0, 3593.0)	(19.0, 4473.0)	(20.0, 4738.0)	(21.0, 5249.0)	(22.0, 6023.0)	(23.0, 6484.0)	(24.0, 7072.0)	(25.0, 7888.0)	(26.0, 9056.0)	(27.0, 10480.0)	(28.0, 11968.0)	(29.0, 14054.0)	(30.0, 16871.0)	(31.0, 20924.0)	(32.0, 26472.0)	(33.0, 35336.0)	(34.0, 48836.0)	(35.0, 76326.0)	(36.0, 147814.0)	(37.0, 322996.0)
ERR8774480_1	(3.0, 26.0)	(4.0, 13.0)	(5.0, 14.0)	(6.0, 8.0)	(7.0, 10.0)	(8.0, 17.0)	(9.0, 5.0)	(10.0, 6.0)	(11.0, 6.0)	(12.0, 8.0)	(13.0, 13.0)	(14.0, 290.0)	(15.0, 5863.0)	(16.0, 6564.0)	(17.0, 1155.0)	(18.0, 507.0)	(19.0, 663.0)	(20.0, 869.0)	(21.0, 1064.0)	(22.0, 1246.0)	(23.0, 1508.0)	(24.0, 1716.0)	(25.0, 2042.0)	(26.0, 2359.0)	(27.0, 2915.0)	(28.0, 3283.0)	(29.0, 4147.0)	(30.0, 5275.0)	(31.0, 6847.0)	(32.0, 9187.0)	(33.0, 13166.0)	(34.0, 21255.0)	(35.0, 41763.0)	(36.0, 116003.0)	(37.0, 504559.0)	
ERR8774480_2	(2.0, 407.0)	(3.0, 45.0)	(4.0, 26.0)	(5.0, 12.0)	(6.0, 25.0)	(7.0, 13.0)	(8.0, 15.0)	(9.0, 8.0)	(10.0, 8.0)	(11.0, 10.0)	(12.0, 4.0)	(13.0, 12.0)	(14.0, 64.0)	(15.0, 587.0)	(16.0, 718.0)	(17.0, 1009.0)	(18.0, 1774.0)	(19.0, 2251.0)	(20.0, 2497.0)	(21.0, 2761.0)	(22.0, 3019.0)	(23.0, 3411.0)	(24.0, 3770.0)	(25.0, 4252.0)	(26.0, 4811.0)	(27.0, 5605.0)	(28.0, 6438.0)	(29.0, 7995.0)	(30.0, 9705.0)	(31.0, 12392.0)	(32.0, 16342.0)	(33.0, 22589.0)	(34.0, 33856.0)	(35.0, 58430.0)	(36.0, 135293.0)	(37.0, 414218.0)
ERR8774482_1	(7.0, 2.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 3.0)	(14.0, 274.0)	(15.0, 4532.0)	(16.0, 4455.0)	(17.0, 767.0)	(18.0, 478.0)	(19.0, 809.0)	(20.0, 1120.0)	(21.0, 1239.0)	(22.0, 1661.0)	(23.0, 1912.0)	(24.0, 2154.0)	(25.0, 2596.0)	(26.0, 3160.0)	(27.0, 3661.0)	(28.0, 4422.0)	(29.0, 5425.0)	(30.0, 6724.0)	(31.0, 8560.0)	(32.0, 11574.0)	(33.0, 16258.0)	(34.0, 25668.0)	(35.0, 46076.0)	(36.0, 122322.0)	(37.0, 543819.0)					
ERR8774482_2	(2.0, 366.0)	(3.0, 64.0)	(4.0, 29.0)	(5.0, 14.0)	(6.0, 13.0)	(7.0, 11.0)	(8.0, 4.0)	(9.0, 17.0)	(10.0, 10.0)	(11.0, 8.0)	(12.0, 16.0)	(13.0, 15.0)	(14.0, 43.0)	(15.0, 482.0)	(16.0, 744.0)	(17.0, 1103.0)	(18.0, 2149.0)	(19.0, 2738.0)	(20.0, 3039.0)	(21.0, 3386.0)	(22.0, 3756.0)	(23.0, 4251.0)	(24.0, 4610.0)	(25.0, 5176.0)	(26.0, 5775.0)	(27.0, 6693.0)	(28.0, 7700.0)	(29.0, 9164.0)	(30.0, 11074.0)	(31.0, 13503.0)	(32.0, 17947.0)	(33.0, 24718.0)	(34.0, 36132.0)	(35.0, 60765.0)	(36.0, 137023.0)	(37.0, 457134.0)
ERR8774487_1	(6.0, 1.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 0.0)	(13.0, 2.0)	(14.0, 431.0)	(15.0, 5478.0)	(16.0, 3633.0)	(17.0, 492.0)	(18.0, 310.0)	(19.0, 470.0)	(20.0, 608.0)	(21.0, 816.0)	(22.0, 970.0)	(23.0, 1261.0)	(24.0, 1398.0)	(25.0, 1752.0)	(26.0, 2100.0)	(27.0, 2569.0)	(28.0, 3007.0)	(29.0, 3847.0)	(30.0, 4727.0)	(31.0, 6104.0)	(32.0, 8291.0)	(33.0, 11823.0)	(34.0, 18727.0)	(35.0, 34648.0)	(36.0, 100605.0)	(37.0, 358225.0)				
ERR8774487_2	(2.0, 217.0)	(3.0, 42.0)	(4.0, 25.0)	(5.0, 11.0)	(6.0, 8.0)	(7.0, 8.0)	(8.0, 6.0)	(9.0, 9.0)	(10.0, 7.0)	(11.0, 12.0)	(12.0, 6.0)	(13.0, 7.0)	(14.0, 35.0)	(15.0, 288.0)	(16.0, 651.0)	(17.0, 950.0)	(18.0, 1655.0)	(19.0, 2205.0)	(20.0, 2514.0)	(21.0, 2872.0)	(22.0, 3193.0)	(23.0, 3463.0)	(24.0, 3948.0)	(25.0, 4451.0)	(26.0, 5037.0)	(27.0, 5664.0)	(28.0, 6722.0)	(29.0, 7767.0)	(30.0, 9341.0)	(31.0, 11870.0)	(32.0, 15619.0)	(33.0, 20420.0)	(34.0, 30080.0)	(35.0, 48705.0)	(36.0, 102964.0)	(37.0, 281524.0)
