Sample	Unique Reads	Duplicate Reads
ERR8774458_1	378829.0	72196.0
ERR8774458_2	357420.0	93605.0
ERR8774464_1	647054.0	146381.0
ERR8774464_2	622475.0	170960.0
ERR8774480_1	611187.0	143185.0
ERR8774480_2	612067.0	142305.0
ERR8774482_1	652378.0	167294.0
ERR8774482_2	652472.0	167200.0
ERR8774487_1	471065.0	101231.0
ERR8774487_2	470095.0	102201.0
ERR8774512_1	748975.0	199266.0
ERR8774512_2	751249.0	196992.0
ERR8774514_1	799820.0	234010.0
ERR8774514_2	802140.0	231690.0
ERR8774522_1	829841.0	224157.0
ERR8774522_2	824135.0	229863.0
ERR8774524_1	889711.0	254772.0
ERR8774524_2	877693.0	266790.0
ERR8774534_1	1019269.0	344923.0
ERR8774534_2	1026822.0	337370.0
