Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR8774458_1	(1.0, 71.2186371460012)	(2.0, 20.623349634164896)	(3.0, 5.798566528990818)	(4.0, 1.5779975275622249)	(5.0, 0.45247271955860074)	(6.0, 0.1440032714963049)	(7.0, 0.06820093073034182)	(8.0, 0.03432459267278151)	(9.0, 0.028616664708072632)	('>10', 0.05383098411474907)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774458_2	(1.0, 64.54669572907831)	(2.0, 22.841293862413057)	(3.0, 6.9495173038963465)	(4.0, 2.115156463955386)	(5.0, 0.9497264971682488)	(6.0, 0.46455896186025425)	(7.0, 0.3154276716967649)	(8.0, 0.21604369807909285)	(9.0, 0.14413827455881947)	('>10', 1.2732118422998528)	('>50', 0.10574917510477741)	('>100', 0.0784805198890801)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774464_1	(1.0, 68.00678495567482)	(2.0, 20.507915125752753)	(3.0, 6.982023446111782)	(4.0, 2.485782637852261)	(5.0, 1.0388920026071202)	(6.0, 0.42539886885500316)	(7.0, 0.2193422079208209)	(8.0, 0.09295969801297319)	(9.0, 0.06820575922272172)	('>10', 0.17269529798971012)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774464_2	(1.0, 63.557037736488)	(2.0, 22.15371122706082)	(3.0, 7.744313240315778)	(4.0, 2.8178117111222925)	(5.0, 1.2849713637699345)	(6.0, 0.6740981867028839)	(7.0, 0.39096874476731436)	(8.0, 0.254973058434583)	(9.0, 0.1609972040619629)	('>10', 0.8897418626152638)	('>50', 0.04749955736744359)	('>100', 0.02387610729374159)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774480_1	(1.0, 66.66375068484534)	(2.0, 22.36077681322481)	(3.0, 7.088198877946512)	(4.0, 2.2143449544588143)	(5.0, 0.7654052331039923)	(6.0, 0.30175371486802754)	(7.0, 0.12527995545300355)	(8.0, 0.09025686515631468)	(9.0, 0.056783898751082036)	('>10', 0.32350801645509564)	('>50', 0.009940985736971289)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774480_2	(1.0, 66.74677865233423)	(2.0, 22.65011994940741)	(3.0, 6.819025086141253)	(4.0, 2.204678015981404)	(5.0, 0.6997431327950713)	(6.0, 0.25587733450999833)	(7.0, 0.14695809174737168)	(8.0, 0.06581666396198874)	(9.0, 0.05843949820491675)	('>10', 0.33585006413713775)	('>50', 0.016713510779183947)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774482_1	(1.0, 64.33999505161871)	(2.0, 23.495519662644735)	(3.0, 7.681002826633114)	(4.0, 2.5771786641143373)	(5.0, 0.8930114213731685)	(6.0, 0.3505546824861112)	(7.0, 0.1452157297414618)	(8.0, 0.08272601180438607)	(9.0, 0.06710766890838518)	('>10', 0.3336427807751125)	('>50', 0.03404549990046223)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774482_2	(1.0, 64.3219971576245)	(2.0, 23.655753110051787)	(3.0, 7.539620703578047)	(4.0, 2.5562776743991638)	(5.0, 0.9129459755961414)	(6.0, 0.3202698027473325)	(7.0, 0.14104019918952218)	(8.0, 0.09898636780145849)	(9.0, 0.057750658312465175)	('>10', 0.380589314897654)	('>50', 0.014769035801867484)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774487_1	(1.0, 68.33632834524998)	(2.0, 22.435075300722314)	(3.0, 6.450108204319014)	(4.0, 1.768570395514887)	(5.0, 0.5254054286029338)	(6.0, 0.17818472379379607)	(7.0, 0.08103770738869191)	(8.0, 0.05596725003312109)	(9.0, 0.03387143579720237)	('>10', 0.1130758448714869)	('>50', 0.022375363706558665)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774487_2	(1.0, 68.13655815203907)	(2.0, 22.374269004546264)	(3.0, 6.537835920268839)	(4.0, 1.8335213521914688)	(5.0, 0.5637988553547421)	(6.0, 0.19759001678208032)	(7.0, 0.08912107001732095)	(8.0, 0.05770698646403768)	(9.0, 0.028223431097344282)	('>10', 0.15934158519116995)	('>50', 0.02203362604768018)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
