Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
ERR8774458_1	pass	0.0	pass	151.0	Sanger / Illumina 1.9	fail	68.1 Mbp	151.0	Conventional base calls	pass	warn	pass	451025.0	pass	fail	pass	64.0	83.9927908923	ERR8774458_1.fastq.gz	pass	pass
ERR8774458_2	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	68.1 Mbp	151.0	Conventional base calls	pass	pass	pass	451025.0	pass	fail	pass	64.0	79.2460499777	ERR8774458_2.fastq.gz	pass	pass
ERR8774464_1	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	119.8 Mbp	151.0	Conventional base calls	pass	pass	pass	793435.0	pass	fail	pass	65.0	81.550915889	ERR8774464_1.fastq.gz	fail	pass
ERR8774464_2	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	119.8 Mbp	151.0	Conventional base calls	pass	pass	pass	793435.0	pass	fail	pass	65.0	78.4530607738	ERR8774464_2.fastq.gz	warn	pass
ERR8774480_1	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	113.9 Mbp	151.0	Conventional base calls	pass	pass	pass	754372.0	pass	fail	pass	64.0	81.019258005	ERR8774480_1.fastq.gz	fail	pass
ERR8774480_2	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	113.9 Mbp	151.0	Conventional base calls	pass	pass	pass	754372.0	pass	fail	pass	64.0	81.1358603963	ERR8774480_2.fastq.gz	warn	pass
ERR8774482_1	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	123.7 Mbp	151.0	Conventional base calls	pass	pass	pass	819672.0	pass	fail	pass	64.0	79.5901237011	ERR8774482_1.fastq.gz	pass	pass
ERR8774482_2	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	123.7 Mbp	151.0	Conventional base calls	pass	pass	pass	819672.0	pass	fail	pass	64.0	79.601498166	ERR8774482_2.fastq.gz	pass	pass
ERR8774487_1	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	86.4 Mbp	151.0	Conventional base calls	pass	pass	pass	572296.0	pass	fail	pass	64.0	82.3112681591	ERR8774487_1.fastq.gz	warn	pass
ERR8774487_2	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	86.4 Mbp	151.0	Conventional base calls	pass	pass	pass	572296.0	pass	fail	pass	64.0	82.1418782802	ERR8774487_2.fastq.gz	warn	pass
ERR8774512_1	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	143.1 Mbp	151.0	Conventional base calls	pass	pass	pass	948241.0	pass	fail	pass	65.0	78.9857182356	ERR8774512_1.fastq.gz	fail	pass
ERR8774512_2	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	143.1 Mbp	151.0	Conventional base calls	pass	pass	pass	948241.0	pass	fail	pass	65.0	79.2254797645	ERR8774512_2.fastq.gz	warn	pass
ERR8774514_1	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	156.1 Mbp	151.0	Conventional base calls	pass	pass	pass	1033830.0	pass	fail	pass	65.0	77.3647234565	ERR8774514_1.fastq.gz	warn	pass
ERR8774514_2	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	156.1 Mbp	151.0	Conventional base calls	pass	pass	pass	1033830.0	pass	fail	pass	65.0	77.5891570065	ERR8774514_2.fastq.gz	pass	pass
ERR8774522_1	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	159.1 Mbp	151.0	Conventional base calls	pass	pass	pass	1053998.0	pass	fail	pass	64.0	78.7326054252	ERR8774522_1.fastq.gz	fail	pass
ERR8774522_2	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	159.1 Mbp	151.0	Conventional base calls	pass	warn	pass	1053998.0	pass	fail	pass	64.0	78.1912595813	ERR8774522_2.fastq.gz	warn	pass
ERR8774524_1	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	172.8 Mbp	151.0	Conventional base calls	pass	pass	pass	1144483.0	pass	fail	pass	64.0	77.7390445313	ERR8774524_1.fastq.gz	pass	pass
ERR8774524_2	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	172.8 Mbp	151.0	Conventional base calls	pass	pass	pass	1144483.0	pass	fail	pass	64.0	76.6889803971	ERR8774524_2.fastq.gz	warn	pass
ERR8774534_1	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	205.9 Mbp	151.0	Conventional base calls	pass	pass	pass	1364192.0	pass	fail	pass	65.0	74.7159371862	ERR8774534_1.fastq.gz	pass	pass
ERR8774534_2	pass	0.0	pass	151.0	Sanger / Illumina 1.9	pass	205.9 Mbp	151.0	Conventional base calls	pass	pass	pass	1364192.0	pass	fail	pass	65.0	75.2696101022	ERR8774534_2.fastq.gz	warn	pass
