Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
ERR8774458_1	16.0072091077	64.0	151.0	451025.0	18.1818181818
ERR8774458_2	20.7539500223	64.0	151.0	451025.0	9.09090909091
ERR8774464_1	18.449084111	65.0	151.0	793435.0	18.1818181818
ERR8774464_2	21.5469392262	65.0	151.0	793435.0	9.09090909091
ERR8774480_1	18.980741995	64.0	151.0	754372.0	18.1818181818
ERR8774480_2	18.8641396037	64.0	151.0	754372.0	9.09090909091
ERR8774482_1	20.4098762989	64.0	151.0	819672.0	9.09090909091
ERR8774482_2	20.398501834	64.0	151.0	819672.0	9.09090909091
ERR8774487_1	17.6887318409	64.0	151.0	572296.0	9.09090909091
ERR8774487_2	17.8581217198	64.0	151.0	572296.0	9.09090909091
ERR8774512_1	21.0142817644	65.0	151.0	948241.0	18.1818181818
ERR8774512_2	20.7745202355	65.0	151.0	948241.0	9.09090909091
ERR8774514_1	22.6352765435	65.0	151.0	1033830.0	9.09090909091
ERR8774514_2	22.4108429935	65.0	151.0	1033830.0	9.09090909091
ERR8774522_1	21.2673945748	64.0	151.0	1053998.0	18.1818181818
ERR8774522_2	21.8087404187	64.0	151.0	1053998.0	9.09090909091
ERR8774524_1	22.2609554687	64.0	151.0	1144483.0	9.09090909091
ERR8774524_2	23.3110196029	64.0	151.0	1144483.0	9.09090909091
ERR8774534_1	25.2840628138	65.0	151.0	1364192.0	9.09090909091
ERR8774534_2	24.7303898978	65.0	151.0	1364192.0	9.09090909091
