.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR8774458_1	1	0.25	0.5	1	0.25	0.5	1	0.5	1	1	1
ERR8774458_2	1	1	1	1	0.25	1	1	0.5	1	1	1
ERR8774464_1	1	1	0.25	1	0.25	1	1	0.5	1	1	1
ERR8774464_2	1	1	0.5	1	0.25	1	1	0.5	1	1	1
ERR8774480_1	1	1	0.25	1	0.25	1	1	0.5	1	1	1
ERR8774480_2	1	1	0.5	1	0.25	1	1	0.5	1	1	1
ERR8774482_1	1	1	1	1	0.25	1	1	0.5	1	1	1
ERR8774482_2	1	1	1	1	0.25	1	1	0.5	1	1	1
ERR8774487_1	1	1	1	1	0.25	1	1	0.5	1	1	1
ERR8774487_2	1	1	0.5	1	0.25	1	1	0.5	1	1	1
ERR8774512_1	1	1	0.25	1	0.25	1	1	0.5	1	1	1
ERR8774512_2	1	1	0.5	1	0.25	1	1	0.5	1	1	1
ERR8774514_1	1	1	0.5	1	0.25	1	1	0.5	1	1	1
ERR8774514_2	1	1	1	1	0.25	1	1	0.5	1	1	1
ERR8774522_1	1	1	0.25	1	0.25	1	1	0.5	1	1	1
ERR8774522_2	1	1	0.5	1	0.25	1	1	0.5	1	1	1
ERR8774524_1	1	1	1	1	0.25	1	1	0.5	1	1	1
ERR8774524_2	1	1	0.5	1	0.25	1	1	0.5	1	1	1
ERR8774534_1	1	1	1	1	0.25	1	1	0.5	1	1	1
ERR8774534_2	1	1	1	1	0.25	1	1	0.5	1	1	1
