Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR8774458_1	(1, 0.0009959688162163643)	(2, 0.0012449610202704554)	(3, 0.003485890856757275)	(4, 0.005477828489190003)	(5, 0.0014939532243245465)	(6, 0.0009959688162163643)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 9.964198634306934e-05)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.00019948353712239013)	(110, 0.00019952313969612626)	(115, 0.0016963376071062576)	(120, 0.0)	(125, 0.00019968818689616164)	(130, 0.0)	(135, 0.004296438252688521)	(140, 0.015095275178869015)	(145, 0.014603899241097375)	(150, 0.0001250859966226781)
ERR8774458_2	(1, 0.0019919376324327286)	(2, 0.006224805101352277)	(3, 0.010208680366217733)	(4, 0.01892340750811092)	(5, 0.02091534514054365)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.004183344015801088)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0002988814362249282)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 4.989228256194875e-05)	(120, 4.990664961190094e-05)	(125, 0.0001497661401721212)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
ERR8774464_1	(1, 0.028939800978871118)	(2, 0.006917318282754561)	(3, 0.00014116976087254207)	(4, 0.0036704137826860934)	(5, 0.0)	(6, 0.0004235092826176262)	(7, 0.00014116976087254207)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.012512766976689535)	(85, 0.0001412342403772875)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0017800165174231123)	(110, 0.0002825637802964885)	(115, 0.002260672493550019)	(120, 0.0010456647446218212)	(125, 0.017382535046299726)	(130, 2.826712090045479e-05)	(135, 0.03830652912879362)	(140, 0.03090405238929606)	(145, 0.009190817779170383)	(150, 0.0)
ERR8774464_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.00011294164418186768)	(40, 0.006155576839670377)	(45, 0.0)	(50, 2.823830531763999e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
ERR8774480_1	(1, 0.03456166114545268)	(2, 0.007650011953143677)	(3, 0.0)	(4, 0.004098220689184112)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.014244289844231444)	(85, 0.0001914049340910781)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.002024526869438536)	(110, 0.000328357980248173)	(115, 0.0026273656554045735)	(120, 0.0012318534302464366)	(125, 0.01752377551934036)	(130, 2.7388465950111363e-05)	(135, 0.041754111026482625)	(140, 0.03064188164175803)	(145, 0.007375725199672398)	(150, 0.0)
ERR8774480_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.00019125897311964425)	(40, 0.0073228925644223284)	(45, 0.0)	(50, 8.198452842635891e-05)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 2.734356201301116e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 5.473678448759527e-05)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
ERR8774482_1	(1, 0.001000589096830759)	(2, 0.0021262518307653628)	(3, 0.0033769882018038124)	(4, 0.009380522782788366)	(5, 0.0031268409275961224)	(6, 0.0015008836452461386)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.00012514375889302837)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.00017536010196939414)	(110, 0.0003257249007666562)	(115, 0.002606279178109861)	(120, 0.0)	(125, 0.0003510058071403607)	(130, 0.0)	(135, 0.004741231606404526)	(140, 0.014153606785700842)	(145, 0.015816198699657415)	(150, 0.00018834981080261505)
ERR8774482_2	(1, 0.0017510309194538286)	(2, 0.004127430024426881)	(3, 0.008004712774646072)	(4, 0.0158843519121883)	(5, 0.019636561025303645)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0037276270451600765)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00020019744472986483)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 7.521553010150587e-05)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
ERR8774487_1	(1, 0.0005406447729562276)	(2, 0.0012615044702311976)	(3, 0.002703223864781138)	(4, 0.003784513410693593)	(5, 0.0032438686377373655)	(6, 0.0012615044702311976)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.00021639908318921754)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.00032491408730008306)	(110, 0.000758289731673762)	(115, 0.0020586684388069834)	(120, 0.0)	(125, 0.0006865848546608271)	(130, 0.0)	(135, 0.005966017563955708)	(140, 0.015915364982724594)	(145, 0.017007861250591654)	(150, 9.049683668307374e-05)
ERR8774487_2	(1, 0.0019823641675061677)	(2, 0.004325158183649821)	(3, 0.007208596972749701)	(4, 0.015318268567093117)	(5, 0.018742352129149223)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.004794259577074211)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.00014423754770206146)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.00021681626989289278)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
ERR8774512_1	(1, 0.03629445529064816)	(2, 0.004658691276113049)	(3, 0.0)	(4, 0.0050920579064491454)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.013188642929857027)	(85, 0.0002603459867991567)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0018676537144157676)	(110, 0.0005213837960433487)	(115, 0.0023253868128835123)	(120, 0.0011088224436098563)	(125, 0.017684596846660187)	(130, 0.0)	(135, 0.043511419460972346)	(140, 0.03040191991938152)	(145, 0.0077651402785678635)	(150, 0.0)
ERR8774512_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 8.667775853049995e-05)	(40, 0.0075632031313828075)	(45, 0.0)	(50, 4.3350546390286704e-05)	(55, 2.1677791709371916e-05)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 6.508649669978917e-05)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 6.519776110888351e-05)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)
ERR8774514_1	(1, 0.000891053819650707)	(2, 0.0012870777394954655)	(3, 0.003663221258564017)	(4, 0.007623460457011603)	(5, 0.0027721674389133105)	(6, 0.0019801195992237932)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.00015854016218658592)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0001786137430176911)	(110, 0.000555880591290185)	(115, 0.002641364644162505)	(120, 0.0)	(125, 0.00037769687996534734)	(130, 0.0)	(135, 0.005871150341452172)	(140, 0.014817647339993308)	(145, 0.016544879080854228)	(150, 4.986852164268904e-05)
