Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
ERR8774458_1	(1, 22.966555367151454)	(2, 27.690308476441604)	(3, 30.989741521192972)	(4, 31.84486291734206)	(5, 32.37689202951056)	(6, 36.30459216321937)	(7, 36.60319855385328)	(8, 36.689392185130686)	(9, 36.76624113898994)	(10, 36.859846272213225)	(15, 36.910459913500105)	(20, 36.88821295805228)	(25, 36.91598256058603)	(30, 36.90147402736976)	(35, 36.86153731148799)	(40, 36.866874983999466)	(45, 36.84344044976932)	(50, 36.76445205884215)	(55, 36.77198413250497)	(60, 36.72915565656003)	(65, 36.69214522316382)	(70, 36.571148226350644)	(75, 36.50580465515907)	(80, 36.49797054033648)	(85, 36.43477641403148)	(90, 36.30519713485685)	(95, 36.31548338229851)	(100, 36.192995225755006)	(105, 36.09596547349986)	(110, 36.03332923615881)	(115, 35.91284720472221)	(120, 35.73078998179756)	(125, 35.48455740225368)	(130, 35.3214592983949)	(135, 34.97548312138806)	(140, 34.744941909888894)	(145, 34.46850800620844)	(150, 30.859457704652183)
ERR8774458_2	(1, 32.85418020561776)	(2, 32.93148730513248)	(3, 32.98599418852196)	(4, 32.901608240645984)	(5, 32.91414997796419)	(6, 37.09044143827857)	(7, 37.098329511303)	(8, 37.09335962691008)	(9, 37.093705726073715)	(10, 37.07474696167263)	(15, 36.99623424190589)	(20, 37.01452172332485)	(25, 36.98957370044744)	(30, 36.95524551733089)	(35, 36.91980391594361)	(40, 36.88141953148888)	(45, 36.84587684404147)	(50, 36.806480238071245)	(55, 36.74682038741489)	(60, 36.66270082111108)	(65, 36.58719125573576)	(70, 36.49667989942955)	(75, 36.362045361895014)	(80, 36.26884968574311)	(85, 36.17777843300773)	(90, 35.98408599168513)	(95, 35.937085884421826)	(100, 35.791965451584204)	(105, 35.53802807493646)	(110, 35.32256307595932)	(115, 35.02403773046167)	(120, 34.69700321007465)	(125, 34.50288901425499)	(130, 34.11644770452591)	(135, 33.78208627191632)	(140, 33.440715145991646)	(145, 33.1904466809225)	(150, 28.992472004424222)
ERR8774464_1	(1, 27.081831875284987)	(2, 30.123942814953267)	(3, 31.335657928729034)	(4, 31.365344517742923)	(5, 31.752784926457615)	(6, 35.30264538014899)	(7, 36.40814718923948)	(8, 36.180416366092714)	(9, 36.65938418926912)	(10, 37.08067964769675)	(15, 37.16165490487276)	(20, 37.208785558898136)	(25, 37.25893414007146)	(30, 37.25875380629174)	(35, 37.24219025013118)	(40, 37.21687780996307)	(45, 37.18517360579295)	(50, 37.154449816958746)	(55, 37.05946528180218)	(60, 37.052525408202044)	(65, 37.010817363996395)	(70, 36.94698731082962)	(75, 36.8800364939777)	(80, 35.66353232123721)	(85, 36.05246655343618)	(90, 36.506858519202396)	(95, 36.47991247093199)	(100, 36.46658114237725)	(105, 36.35027031757545)	(110, 36.26587316446567)	(115, 36.15535572368261)	(120, 35.9869252410386)	(125, 35.73371279720276)	(130, 35.52391472339771)	(135, 35.17722398749929)	(140, 34.88357456004117)	(145, 34.363535223334864)	(150, 30.66186501626517)
ERR8774464_2	(1, 32.58530535725126)	(2, 32.712456960869154)	(3, 32.79116474934603)	(4, 32.76131581510714)	(5, 32.75456366544461)	(6, 36.86373165322495)	(7, 36.856766337223505)	(8, 36.85069603750598)	(9, 36.84258159965103)	(10, 36.833222609184226)	(15, 36.77558666623374)	(20, 36.72109880895072)	(25, 36.67221285011866)	(30, 36.61497642153394)	(35, 36.53326524942733)	(40, 36.46192004718517)	(45, 36.42546809063303)	(50, 36.39891541733222)	(55, 36.291852869105824)	(60, 36.18916855599981)	(65, 36.080063012772214)	(70, 35.9128095087659)	(75, 35.79912290167484)	(80, 35.609376166439645)	(85, 35.283530324902024)	(90, 35.22419389498527)	(95, 35.030475430110016)	(100, 34.69616647145026)	(105, 34.394726547393574)	(110, 34.185959312958765)	(115, 33.79271301027081)	(120, 33.363266400621214)	(125, 32.95168596787304)	(130, 32.514891182009535)	(135, 32.00352696262196)	(140, 31.63853230527103)	(145, 31.24288980569534)	(150, 27.061894427074122)
ERR8774480_1	(1, 29.718077934496772)	(2, 31.358159898910557)	(3, 32.212179911888256)	(4, 32.22818892797377)	(5, 32.622023837983676)	(6, 36.73004747105632)	(7, 37.08159284177453)	(8, 37.26554830777637)	(9, 37.33855674328063)	(10, 37.43965192445613)	(15, 37.46689771524196)	(20, 37.44667572828797)	(25, 37.47613729039308)	(30, 37.468127770590584)	(35, 37.453395938313044)	(40, 37.440245657097115)	(45, 37.420959297726235)	(50, 37.39807376388304)	(55, 37.321219383744804)	(60, 37.326544940998374)	(65, 37.29582641228821)	(70, 37.25192611136204)	(75, 37.203857187773735)	(80, 36.00644453926476)	(85, 36.44411746813117)	(90, 36.89781677573873)	(95, 36.89258586471703)	(100, 36.90815386303566)	(105, 36.8203478660248)	(110, 36.75699045274682)	(115, 36.67627009187042)	(120, 36.54792923009649)	(125, 36.35467813967365)	(130, 36.194865725641606)	(135, 35.92345976476887)	(140, 35.696517422731304)	(145, 35.252566160070195)	(150, 31.51933773950081)
ERR8774480_2	(1, 32.97723984836583)	(2, 33.0542604419248)	(3, 33.122426146647996)	(4, 33.10354154571224)	(5, 33.097886001161164)	(6, 37.28128957344353)	(7, 37.27592636863495)	(8, 37.26839793722892)	(9, 37.256414739933746)	(10, 37.25266404835901)	(15, 37.21016549981216)	(20, 37.16572193572624)	(25, 37.140590553601314)	(30, 37.103454731025685)	(35, 37.04961130233598)	(40, 37.01068119347222)	(45, 37.00894850009217)	(50, 37.009518602352635)	(55, 36.93442188799026)	(60, 36.87226103034906)	(65, 36.81856829878883)	(70, 36.7170465455766)	(75, 36.65536187447368)	(80, 36.54175401550939)	(85, 36.280989217389006)	(90, 36.291034695028955)	(95, 36.18663353804153)	(100, 35.92199772163965)	(105, 35.7286746936898)	(110, 35.62364751989354)	(115, 35.354484306784705)	(120, 35.06795897253308)	(125, 34.76800461569699)	(130, 34.46037187987331)	(135, 34.064521995288246)	(140, 33.776708014434874)	(145, 33.4693028897879)	(150, 28.970675601892903)
ERR8774482_1	(1, 29.902024817111073)	(2, 31.49343175794749)	(3, 32.28800956563177)	(4, 32.32418586442768)	(5, 32.688875575495075)	(6, 36.71268959599964)	(7, 37.05276356454863)	(8, 37.18074766518788)	(9, 37.27702684955768)	(10, 37.36321409229684)	(15, 37.410700549948785)	(20, 37.38709565256545)	(25, 37.41726741619128)	(30, 37.40510423818823)	(35, 37.36625000441249)	(40, 37.37166283367985)	(45, 37.35068866933032)	(50, 37.270206670674725)	(55, 37.27969000272465)	(60, 37.238466236618365)	(65, 37.204655122075124)	(70, 37.08894543333055)	(75, 37.0288356473307)	(80, 37.024254681712115)	(85, 36.96331204365262)	(90, 36.83771335330518)	(95, 36.856441237882635)	(100, 36.734100049190914)	(105, 36.64903286771793)	(110, 36.589775862547285)	(115, 36.47017798568646)	(120, 36.300683592032954)	(125, 36.06120463369458)	(130, 35.9153249997023)	(135, 35.578941059385734)	(140, 35.358289722316606)	(145, 35.07373830944382)	(150, 31.34288159182279)
ERR8774482_2	(1, 32.930908072127465)	(2, 33.00207121943044)	(3, 33.053915492746356)	(4, 32.976835111671996)	(5, 32.9992182897681)	(6, 37.17531446639209)	(7, 37.16941599366627)	(8, 37.164047833161774)	(9, 37.16112611299903)	(10, 37.16060905858324)	(15, 37.082103338340445)	(20, 37.102810779846635)	(25, 37.07957009689455)	(30, 37.04582682293962)	(35, 37.01717604346775)	(40, 36.97814095427243)	(45, 36.95242779082443)	(50, 36.91975979015784)	(55, 36.86376377564449)	(60, 36.78524098255187)	(65, 36.718546836227084)	(70, 36.637095336147624)	(75, 36.51922882332401)	(80, 36.439860553233096)	(85, 36.35204426177855)	(90, 36.172334827243446)	(95, 36.131468519041604)	(100, 35.99045897574915)	(105, 35.75598064873657)	(110, 35.56099349096032)	(115, 35.27679684772226)	(120, 34.972553333311154)	(125, 34.79794160848179)	(130, 34.438984150003066)	(135, 34.1183452393273)	(140, 33.795603747528574)	(145, 33.55238043013462)	(150, 29.28699105477713)
ERR8774487_1	(1, 25.031326760294327)	(2, 25.325161787948307)	(3, 29.055661181525085)	(4, 30.00417918409495)	(5, 31.435577669929156)	(6, 35.302532199901606)	(7, 36.68390122059568)	(8, 36.83004290917348)	(9, 36.97398056922686)	(10, 37.22623424696293)	(15, 37.36290131610959)	(20, 37.38216701237896)	(25, 37.412745520307524)	(30, 37.40122169912532)	(35, 37.36541293607811)	(40, 37.3717716453233)	(45, 37.35625553253307)	(50, 37.275462326307284)	(55, 37.286842015289174)	(60, 37.25325227919721)	(65, 37.22110961042186)	(70, 37.10704790312345)	(75, 37.05227226656094)	(80, 37.0508267127649)	(85, 37.00174274593573)	(90, 36.8753210292457)	(95, 36.90424508472019)	(100, 36.786423444702805)	(105, 36.703830246098484)	(110, 36.6540082471314)	(115, 36.548709178034755)	(120, 36.38251094943651)	(125, 36.15636549875748)	(130, 36.01755415076883)	(135, 35.70835078061013)	(140, 35.49842666186676)	(145, 35.241605879409164)	(150, 31.534258826098913)
ERR8774487_2	(1, 32.78811230273224)	(2, 32.86714375564298)	(3, 32.917133573499754)	(4, 32.84304000951535)	(5, 32.855323458756914)	(6, 37.00947930501916)	(7, 37.00900894406669)	(8, 37.00470360952472)	(9, 37.00679770694531)	(10, 36.99629189771722)	(15, 36.91382987350715)	(20, 36.93266197266861)	(25, 36.903613489447515)	(30, 36.86984400550632)	(35, 36.83210345139289)	(40, 36.784093275032156)	(45, 36.748047043636795)	(50, 36.715276125994784)	(55, 36.64380650653557)	(60, 36.55091374498691)	(65, 36.472951123531544)	(70, 36.37490635091141)	(75, 36.24591392709513)	(80, 36.134809351297655)	(85, 36.03362301589482)	(90, 35.834224044276006)	(95, 35.7882401596432)	(100, 35.60956515358903)	(105, 35.34402861305218)	(110, 35.11440520856387)	(115, 34.79167314966166)	(120, 34.442332029305945)	(125, 34.2299314323251)	(130, 33.818871246533554)	(135, 33.45989343211283)	(140, 33.09745055634558)	(145, 32.8395194540886)	(150, 28.63063819319416)
