Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
ERR8774458_1	(14.0, 4.0)	(15.0, 1952.0)	(16.0, 7008.0)	(17.0, 1359.0)	(18.0, 144.0)	(19.0, 118.0)	(20.0, 192.0)	(21.0, 311.0)	(22.0, 463.0)	(23.0, 720.0)	(24.0, 958.0)	(25.0, 1120.0)	(26.0, 1476.0)	(27.0, 1695.0)	(28.0, 2026.0)	(29.0, 2604.0)	(30.0, 3362.0)	(31.0, 4384.0)	(32.0, 5951.0)	(33.0, 8379.0)	(34.0, 13090.0)	(35.0, 24238.0)	(36.0, 66277.0)	(37.0, 253788.0)
ERR8774458_2	(14.0, 3.0)	(15.0, 174.0)	(16.0, 343.0)	(17.0, 101.0)	(18.0, 128.0)	(19.0, 385.0)	(20.0, 782.0)	(21.0, 1334.0)	(22.0, 1995.0)	(23.0, 2335.0)	(24.0, 2523.0)	(25.0, 2928.0)	(26.0, 3348.0)	(27.0, 3659.0)	(28.0, 4352.0)	(29.0, 5050.0)	(30.0, 6152.0)	(31.0, 7561.0)	(32.0, 9740.0)	(33.0, 13255.0)	(34.0, 19113.0)	(35.0, 31391.0)	(36.0, 67729.0)	(37.0, 217238.0)
ERR8774464_1	(14.0, 1.0)	(15.0, 706.0)	(16.0, 3364.0)	(17.0, 691.0)	(18.0, 73.0)	(19.0, 85.0)	(20.0, 201.0)	(21.0, 462.0)	(22.0, 834.0)	(23.0, 1299.0)	(24.0, 1756.0)	(25.0, 2244.0)	(26.0, 2831.0)	(27.0, 3574.0)	(28.0, 4413.0)	(29.0, 5719.0)	(30.0, 7567.0)	(31.0, 9650.0)	(32.0, 13057.0)	(33.0, 18771.0)	(34.0, 29186.0)	(35.0, 54171.0)	(36.0, 137715.0)	(37.0, 409997.0)
ERR8774464_2	(14.0, 9.0)	(15.0, 777.0)	(16.0, 1015.0)	(17.0, 191.0)	(18.0, 413.0)	(19.0, 1005.0)	(20.0, 1993.0)	(21.0, 3568.0)	(22.0, 5288.0)	(23.0, 6193.0)	(24.0, 6877.0)	(25.0, 7697.0)	(26.0, 8836.0)	(27.0, 10229.0)	(28.0, 11649.0)	(29.0, 13644.0)	(30.0, 16290.0)	(31.0, 20157.0)	(32.0, 25339.0)	(33.0, 33642.0)	(34.0, 46053.0)	(35.0, 71091.0)	(36.0, 134993.0)	(37.0, 281418.0)
ERR8774480_1	(15.0, 234.0)	(16.0, 1324.0)	(17.0, 328.0)	(18.0, 40.0)	(19.0, 67.0)	(20.0, 179.0)	(21.0, 403.0)	(22.0, 760.0)	(23.0, 1091.0)	(24.0, 1357.0)	(25.0, 1706.0)	(26.0, 2071.0)	(27.0, 2607.0)	(28.0, 2993.0)	(29.0, 3822.0)	(30.0, 4949.0)	(31.0, 6444.0)	(32.0, 8740.0)	(33.0, 12573.0)	(34.0, 20499.0)	(35.0, 40967.0)	(36.0, 115177.0)	(37.0, 503694.0)	
ERR8774480_2	(15.0, 243.0)	(16.0, 297.0)	(17.0, 83.0)	(18.0, 168.0)	(19.0, 481.0)	(20.0, 1101.0)	(21.0, 1954.0)	(22.0, 2706.0)	(23.0, 3277.0)	(24.0, 3671.0)	(25.0, 4173.0)	(26.0, 4742.0)	(27.0, 5548.0)	(28.0, 6354.0)	(29.0, 7909.0)	(30.0, 9594.0)	(31.0, 12230.0)	(32.0, 16139.0)	(33.0, 22328.0)	(34.0, 33459.0)	(35.0, 57717.0)	(36.0, 133226.0)	(37.0, 404625.0)	
ERR8774482_1	(15.0, 265.0)	(16.0, 1173.0)	(17.0, 259.0)	(18.0, 39.0)	(19.0, 90.0)	(20.0, 222.0)	(21.0, 515.0)	(22.0, 1030.0)	(23.0, 1397.0)	(24.0, 1711.0)	(25.0, 2195.0)	(26.0, 2765.0)	(27.0, 3297.0)	(28.0, 4071.0)	(29.0, 5060.0)	(30.0, 6304.0)	(31.0, 8156.0)	(32.0, 11049.0)	(33.0, 15598.0)	(34.0, 24674.0)	(35.0, 45234.0)	(36.0, 121417.0)	(37.0, 543008.0)	
ERR8774482_2	(15.0, 187.0)	(16.0, 270.0)	(17.0, 91.0)	(18.0, 216.0)	(19.0, 588.0)	(20.0, 1344.0)	(21.0, 2350.0)	(22.0, 3314.0)	(23.0, 4048.0)	(24.0, 4492.0)	(25.0, 5092.0)	(26.0, 5705.0)	(27.0, 6614.0)	(28.0, 7626.0)	(29.0, 9079.0)	(30.0, 10972.0)	(31.0, 13358.0)	(32.0, 17747.0)	(33.0, 24471.0)	(34.0, 35837.0)	(35.0, 60278.0)	(36.0, 135697.0)	(37.0, 450153.0)	
ERR8774487_1	(14.0, 1.0)	(15.0, 396.0)	(16.0, 992.0)	(17.0, 144.0)	(18.0, 42.0)	(19.0, 50.0)	(20.0, 143.0)	(21.0, 335.0)	(22.0, 552.0)	(23.0, 859.0)	(24.0, 1052.0)	(25.0, 1422.0)	(26.0, 1803.0)	(27.0, 2228.0)	(28.0, 2715.0)	(29.0, 3549.0)	(30.0, 4425.0)	(31.0, 5725.0)	(32.0, 7850.0)	(33.0, 11328.0)	(34.0, 18011.0)	(35.0, 33986.0)	(36.0, 99818.0)	(37.0, 357467.0)
ERR8774487_2	(14.0, 1.0)	(15.0, 77.0)	(16.0, 218.0)	(17.0, 117.0)	(18.0, 205.0)	(19.0, 503.0)	(20.0, 1089.0)	(21.0, 2084.0)	(22.0, 2904.0)	(23.0, 3346.0)	(24.0, 3875.0)	(25.0, 4388.0)	(26.0, 4990.0)	(27.0, 5605.0)	(28.0, 6636.0)	(29.0, 7681.0)	(30.0, 9230.0)	(31.0, 11708.0)	(32.0, 15380.0)	(33.0, 20148.0)	(34.0, 29656.0)	(35.0, 47957.0)	(36.0, 101152.0)	(37.0, 275943.0)
