Sample	Unique Reads	Duplicate Reads
ERR8774458_1	330573.0	71046.0
ERR8774458_2	326256.0	75363.0
ERR8774464_1	565061.0	143306.0
ERR8774464_2	568171.0	140196.0
ERR8774480_1	590893.0	141132.0
ERR8774480_2	594553.0	137472.0
ERR8774482_1	635103.0	164426.0
ERR8774482_2	636184.0	163345.0
ERR8774487_1	455877.0	99016.0
ERR8774487_2	455799.0	99094.0
ERR8774512_1	726362.0	196644.0
ERR8774512_2	731620.0	191386.0
ERR8774514_1	780212.0	229828.0
ERR8774514_2	783613.0	226427.0
ERR8774522_1	783230.0	219487.0
ERR8774522_2	788774.0	213943.0
ERR8774524_1	846726.0	250406.0
ERR8774524_2	844418.0	252714.0
ERR8774534_1	991782.0	336142.0
ERR8774534_2	997799.0	330125.0
