Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
ERR8774458_1	(1.0, 68.17374218856531)	(2.0, 22.845479405903333)	(3.0, 6.389865000458189)	(4.0, 1.7532118157235828)	(5.0, 0.48814091308544105)	(6.0, 0.1618501980029204)	(7.0, 0.06916973875775809)	(8.0, 0.028368195329280182)	(9.0, 0.03113842778248143)	('>10', 0.05903411639168246)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774458_2	(1.0, 66.53936243767113)	(2.0, 23.616959513700543)	(3.0, 6.689659237280375)	(4.0, 1.825972230942854)	(5.0, 0.5707693691070428)	(6.0, 0.23775931852254906)	(7.0, 0.11636940443699)	(8.0, 0.0675364457396928)	(9.0, 0.043056476452208524)	('>10', 0.2564222776282784)	('>50', 0.036133288518331)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774464_1	(1.0, 64.8395622674764)	(2.0, 22.723672420129468)	(3.0, 7.584473762813655)	(4.0, 2.7017722278139122)	(5.0, 1.104610485013293)	(6.0, 0.46304472898220583)	(7.0, 0.23555404703373048)	(8.0, 0.10045612538954844)	(9.0, 0.06847950678222488)	('>10', 0.1783744285655528)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774464_2	(1.0, 65.43718447893932)	(2.0, 22.697127809942167)	(3.0, 7.424950040624252)	(4.0, 2.464678757157264)	(5.0, 0.9757285144630611)	(6.0, 0.4180498019778096)	(7.0, 0.20634382422517394)	(8.0, 0.13356724745275766)	(9.0, 0.06855475367180452)	('>10', 0.17381477154639718)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774480_1	(1.0, 66.10694357958236)	(2.0, 22.805203886985794)	(3.0, 7.194694788575738)	(4.0, 2.211570803140572)	(5.0, 0.7696738305341283)	(6.0, 0.2976879781424858)	(7.0, 0.12228345378783285)	(8.0, 0.09139552455662805)	(9.0, 0.06417062730116742)	('>10', 0.3261284455050994)	('>50', 0.0102470818881617)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774480_2	(1.0, 66.8185278905467)	(2.0, 22.773510884595073)	(3.0, 6.735760030266209)	(4.0, 2.1698162624829385)	(5.0, 0.6617107648716879)	(6.0, 0.23784779840103076)	(7.0, 0.14280343977601392)	(8.0, 0.058919790439741576)	(9.0, 0.05599343636342874)	('>10', 0.32788670789491653)	('>50', 0.017222994362241496)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774482_1	(1.0, 64.04529825899272)	(2.0, 23.747523422455526)	(3.0, 7.708032901880441)	(4.0, 2.603878226505769)	(5.0, 0.8754574934794254)	(6.0, 0.3529961817772468)	(7.0, 0.14783379406777336)	(8.0, 0.0805391764899008)	(9.0, 0.07099000009237891)	('>10', 0.3400524598221331)	('>50', 0.027398084436683005)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774482_2	(1.0, 64.23462788309399)	(2.0, 23.76547104522544)	(3.0, 7.572442179898668)	(4.0, 2.5270737116541353)	(5.0, 0.923139400421427)	(6.0, 0.3092755919655227)	(7.0, 0.13237605684619927)	(8.0, 0.08801539810306831)	(9.0, 0.0552258272231462)	('>10', 0.3772135231033364)	('>50', 0.015139382465057217)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774487_1	(1.0, 68.0161552357134)	(2.0, 22.768413718118833)	(3.0, 6.456583795809677)	(4.0, 1.7628967691748956)	(5.0, 0.5182271382878485)	(6.0, 0.1667788364186266)	(7.0, 0.0822310187413951)	(8.0, 0.05867886066758274)	(9.0, 0.03257958775897564)	('>10', 0.11456257752487503)	('>50', 0.022892461783887066)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
ERR8774487_2	(1.0, 68.08650515110068)	(2.0, 22.51590833453084)	(3.0, 6.5143262088638)	(4.0, 1.8110205630346106)	(5.0, 0.5446184173198753)	(6.0, 0.1864712546019795)	(7.0, 0.08222662744714256)	(8.0, 0.056899834893441734)	(9.0, 0.024914266967523205)	('>10', 0.1545715878009383)	('>50', 0.022537753439165854)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
