Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
ERR8774458_1	(30, 7.0)	(35, 15.0)	(40, 11.0)	(45, 23.0)	(50, 36.0)	(55, 17.0)	(60, 34.0)	(65, 27.0)	(70, 29.0)	(75, 41.0)	(80, 42.0)	(85, 64.0)	(90, 55.0)	(95, 63.0)	(100, 81.0)	(105, 90.0)	(110, 76.0)	(115, 116.0)	(120, 113.0)	(125, 132.0)	(130, 145.0)	(135, 194.0)	(140, 227.0)	(145, 228.0)	(150, 399753.0)
ERR8774458_2	(30, 7.0)	(35, 15.0)	(40, 11.0)	(45, 23.0)	(50, 36.0)	(55, 17.0)	(60, 34.0)	(65, 27.0)	(70, 29.0)	(75, 41.0)	(80, 42.0)	(85, 64.0)	(90, 55.0)	(95, 63.0)	(100, 81.0)	(105, 90.0)	(110, 76.0)	(115, 116.0)	(120, 113.0)	(125, 132.0)	(130, 145.0)	(135, 194.0)	(140, 227.0)	(145, 228.0)	(150, 399753.0)
ERR8774464_1	(30, 22.0)	(35, 29.0)	(40, 30.0)	(45, 18.0)	(50, 32.0)	(55, 29.0)	(60, 30.0)	(65, 22.0)	(70, 32.0)	(75, 30.0)	(80, 38.0)	(85, 36.0)	(90, 34.0)	(95, 45.0)	(100, 62.0)	(105, 48.0)	(110, 56.0)	(115, 62.0)	(120, 73.0)	(125, 72.0)	(130, 76.0)	(135, 96.0)	(140, 117.0)	(145, 128.0)	(150, 707150.0)
ERR8774464_2	(30, 22.0)	(35, 29.0)	(40, 30.0)	(45, 18.0)	(50, 32.0)	(55, 29.0)	(60, 30.0)	(65, 22.0)	(70, 32.0)	(75, 30.0)	(80, 38.0)	(85, 36.0)	(90, 34.0)	(95, 45.0)	(100, 62.0)	(105, 48.0)	(110, 56.0)	(115, 62.0)	(120, 73.0)	(125, 72.0)	(130, 76.0)	(135, 96.0)	(140, 117.0)	(145, 128.0)	(150, 707150.0)
ERR8774480_1	(30, 17.0)	(35, 45.0)	(40, 33.0)	(45, 65.0)	(50, 47.0)	(55, 37.0)	(60, 44.0)	(65, 61.0)	(70, 68.0)	(75, 59.0)	(80, 78.0)	(85, 93.0)	(90, 94.0)	(95, 90.0)	(100, 116.0)	(105, 114.0)	(110, 139.0)	(115, 146.0)	(120, 174.0)	(125, 188.0)	(130, 220.0)	(135, 261.0)	(140, 284.0)	(145, 320.0)	(150, 729232.0)
ERR8774480_2	(30, 17.0)	(35, 45.0)	(40, 33.0)	(45, 65.0)	(50, 47.0)	(55, 37.0)	(60, 44.0)	(65, 61.0)	(70, 68.0)	(75, 59.0)	(80, 78.0)	(85, 93.0)	(90, 94.0)	(95, 90.0)	(100, 116.0)	(105, 114.0)	(110, 139.0)	(115, 146.0)	(120, 174.0)	(125, 188.0)	(130, 220.0)	(135, 261.0)	(140, 284.0)	(145, 320.0)	(150, 729232.0)
ERR8774482_1	(30, 23.0)	(35, 52.0)	(40, 40.0)	(45, 52.0)	(50, 66.0)	(55, 60.0)	(60, 63.0)	(65, 68.0)	(70, 67.0)	(75, 80.0)	(80, 97.0)	(85, 95.0)	(90, 113.0)	(95, 100.0)	(100, 142.0)	(105, 136.0)	(110, 138.0)	(115, 172.0)	(120, 183.0)	(125, 186.0)	(130, 246.0)	(135, 264.0)	(140, 293.0)	(145, 372.0)	(150, 796421.0)
ERR8774482_2	(30, 23.0)	(35, 52.0)	(40, 40.0)	(45, 52.0)	(50, 66.0)	(55, 60.0)	(60, 63.0)	(65, 68.0)	(70, 67.0)	(75, 80.0)	(80, 97.0)	(85, 95.0)	(90, 113.0)	(95, 100.0)	(100, 142.0)	(105, 136.0)	(110, 138.0)	(115, 172.0)	(120, 183.0)	(125, 186.0)	(130, 246.0)	(135, 264.0)	(140, 293.0)	(145, 372.0)	(150, 796421.0)
ERR8774487_1	(30, 16.0)	(35, 28.0)	(40, 45.0)	(45, 44.0)	(50, 43.0)	(55, 53.0)	(60, 55.0)	(65, 57.0)	(70, 54.0)	(75, 63.0)	(80, 63.0)	(85, 88.0)	(90, 76.0)	(95, 83.0)	(100, 89.0)	(105, 106.0)	(110, 123.0)	(115, 137.0)	(120, 145.0)	(125, 145.0)	(130, 156.0)	(135, 220.0)	(140, 208.0)	(145, 263.0)	(150, 552533.0)
ERR8774487_2	(30, 16.0)	(35, 28.0)	(40, 45.0)	(45, 44.0)	(50, 43.0)	(55, 53.0)	(60, 55.0)	(65, 57.0)	(70, 54.0)	(75, 63.0)	(80, 63.0)	(85, 88.0)	(90, 76.0)	(95, 83.0)	(100, 89.0)	(105, 106.0)	(110, 123.0)	(115, 137.0)	(120, 145.0)	(125, 145.0)	(130, 156.0)	(135, 220.0)	(140, 208.0)	(145, 263.0)	(150, 552533.0)
