Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	Total Bases	Sequence length	File type	basic_statistics	per_sequence_gc_content	sequence_length_distribution	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
ERR8774458_1	pass	0.0	pass	150.827301157	Sanger / Illumina 1.9	fail	60.5 Mbp	15-151	Conventional base calls	pass	warn	warn	401624.0	pass	fail	pass	64.0	82.3100668623	ERR8774458_1.fastq.gz	pass	pass
ERR8774458_2	pass	0.0	pass	150.837499751	Sanger / Illumina 1.9	pass	60.5 Mbp	31-151	Conventional base calls	pass	pass	warn	401624.0	pass	fail	pass	64.0	81.2344408076	ERR8774458_2.fastq.gz	pass	pass
ERR8774464_1	pass	0.0	pass	150.92485816	Sanger / Illumina 1.9	pass	106.9 Mbp	31-151	Conventional base calls	pass	pass	warn	708367.0	pass	fail	pass	65.0	79.7695132187	ERR8774464_1.fastq.gz	fail	pass
ERR8774464_2	pass	0.0	pass	150.92485816	Sanger / Illumina 1.9	pass	106.9 Mbp	31-151	Conventional base calls	pass	pass	warn	708367.0	pass	fail	pass	65.0	80.2085535685	ERR8774464_2.fastq.gz	warn	pass
ERR8774480_1	pass	0.0	pass	150.843631878	Sanger / Illumina 1.9	pass	110.4 Mbp	23-151	Conventional base calls	pass	pass	warn	732029.0	pass	fail	pass	64.0	80.7202643982	ERR8774480_1.fastq.gz	fail	pass
ERR8774480_2	pass	0.0	pass	150.843788976	Sanger / Illumina 1.9	pass	110.4 Mbp	21-151	Conventional base calls	pass	pass	warn	732029.0	pass	fail	pass	64.0	81.2202121103	ERR8774480_2.fastq.gz	warn	pass
ERR8774482_1	pass	0.0	pass	150.838602438	Sanger / Illumina 1.9	pass	120.6 Mbp	27-151	Conventional base calls	pass	pass	warn	799535.0	pass	fail	pass	64.0	79.4340886288	ERR8774482_1.fastq.gz	pass	pass
ERR8774482_2	pass	0.0	pass	150.838617446	Sanger / Illumina 1.9	pass	120.6 Mbp	27-151	Conventional base calls	pass	pass	warn	799535.0	pass	fail	pass	64.0	79.5697774288	ERR8774482_2.fastq.gz	pass	pass
ERR8774487_1	pass	0.0	pass	150.81906552	Sanger / Illumina 1.9	pass	83.6 Mbp	27-151	Conventional base calls	pass	pass	warn	554897.0	pass	fail	pass	64.0	82.1557537005	ERR8774487_1.fastq.gz	warn	pass
ERR8774487_2	pass	0.0	pass	150.819771958	Sanger / Illumina 1.9	pass	83.6 Mbp	27-151	Conventional base calls	pass	pass	warn	554897.0	pass	fail	pass	64.0	82.1412480352	ERR8774487_2.fastq.gz	warn	pass
ERR8774512_1	pass	0.0	pass	150.736551352	Sanger / Illumina 1.9	pass	139.1 Mbp	26-151	Conventional base calls	pass	pass	warn	923011.0	pass	fail	pass	65.0	78.6951949126	ERR8774512_1.fastq.gz	fail	pass
ERR8774512_2	pass	0.0	pass	150.736739866	Sanger / Illumina 1.9	pass	139.1 Mbp	17-151	Conventional base calls	pass	pass	warn	923011.0	pass	fail	pass	65.0	79.2648641524	ERR8774512_2.fastq.gz	warn	pass
ERR8774514_1	pass	0.0	pass	150.732027393	Sanger / Illumina 1.9	pass	152.2 Mbp	15-151	Conventional base calls	pass	pass	warn	1010051.0	pass	fail	pass	65.0	77.2456125309	ERR8774514_1.fastq.gz	pass	pass
ERR8774514_2	pass	0.0	pass	150.732600631	Sanger / Illumina 1.9	pass	152.2 Mbp	18-151	Conventional base calls	pass	pass	warn	1010051.0	pass	fail	pass	65.0	77.5823548175	ERR8774514_2.fastq.gz	pass	pass
ERR8774522_1	pass	0.0	pass	150.825147947	Sanger / Illumina 1.9	pass	151.2 Mbp	15-151	Conventional base calls	pass	pass	warn	1002722.0	pass	fail	pass	64.0	78.1107558237	ERR8774522_1.fastq.gz	fail	pass
ERR8774522_2	pass	0.0	pass	150.827252219	Sanger / Illumina 1.9	pass	151.2 Mbp	17-151	Conventional base calls	pass	pass	warn	1002722.0	pass	fail	pass	64.0	78.663628556	ERR8774522_2.fastq.gz	warn	pass
ERR8774524_1	pass	0.0	pass	150.832801953	Sanger / Illumina 1.9	pass	165.4 Mbp	21-151	Conventional base calls	pass	pass	warn	1097142.0	pass	fail	pass	64.0	77.1757774333	ERR8774524_1.fastq.gz	pass	pass
ERR8774524_2	pass	0.0	pass	150.833674219	Sanger / Illumina 1.9	pass	165.4 Mbp	28-151	Conventional base calls	pass	pass	warn	1097142.0	pass	fail	pass	64.0	76.9654333838	ERR8774524_2.fastq.gz	warn	pass
ERR8774534_1	pass	0.0	pass	150.918689624	Sanger / Illumina 1.9	pass	200.4 Mbp	31-151	Conventional base calls	pass	pass	warn	1327924.0	pass	fail	pass	65.0	74.6866222042	ERR8774534_1.fastq.gz	pass	pass
ERR8774534_2	pass	0.0	pass	150.918689624	Sanger / Illumina 1.9	pass	200.4 Mbp	31-151	Conventional base calls	pass	pass	warn	1327924.0	pass	fail	pass	65.0	75.1397486051	ERR8774534_2.fastq.gz	pass	pass
