Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
ERR8774458_1	17.6899331377	64.0	150.827301157	401624.0	18.1818181818
ERR8774458_2	18.7655591924	64.0	150.837499751	401624.0	9.09090909091
ERR8774464_1	20.2304867813	65.0	150.92485816	708367.0	18.1818181818
ERR8774464_2	19.7914464315	65.0	150.92485816	708367.0	9.09090909091
ERR8774480_1	19.2797356018	64.0	150.843631878	732029.0	18.1818181818
ERR8774480_2	18.7797878897	64.0	150.843788976	732029.0	9.09090909091
ERR8774482_1	20.5659113712	64.0	150.838602438	799535.0	9.09090909091
ERR8774482_2	20.4302225712	64.0	150.838617446	799535.0	9.09090909091
ERR8774487_1	17.8442462995	64.0	150.81906552	554897.0	9.09090909091
ERR8774487_2	17.8587519648	64.0	150.819771958	554897.0	9.09090909091
ERR8774512_1	21.3048050874	65.0	150.736551352	923011.0	18.1818181818
ERR8774512_2	20.7351358476	65.0	150.736739866	923011.0	9.09090909091
ERR8774514_1	22.7543874691	65.0	150.732027393	1010051.0	9.09090909091
ERR8774514_2	22.4176451825	65.0	150.732600631	1010051.0	9.09090909091
ERR8774522_1	21.8892441763	64.0	150.825147947	1002722.0	18.1818181818
ERR8774522_2	21.336371444	64.0	150.827252219	1002722.0	9.09090909091
ERR8774524_1	22.8242225667	64.0	150.832801953	1097142.0	9.09090909091
ERR8774524_2	23.0345666162	64.0	150.833674219	1097142.0	9.09090909091
ERR8774534_1	25.3133777958	65.0	150.918689624	1327924.0	9.09090909091
ERR8774534_2	24.8602513949	65.0	150.918689624	1327924.0	9.09090909091
