Sample	snpeff-Change_rate	snpeff-Ts_Tv_ratio	snpeff-Number_of_variants_before_filter
ERR8774458_indels_snpEff_genes	55842.0	0.0	7.9e-05
ERR8774464_indels_snpEff_genes	58820.0	0.0	7.5e-05
ERR8774480_indels_snpEff_genes	55144.0	0.0	8e-05
ERR8774482_indels_snpEff_genes	56558.0	0.0	7.8e-05
ERR8774487_indels_snpEff_genes	63935.0	0.0	6.9e-05
ERR8774512_indels_snpEff_genes	51900.0	0.0	8.5e-05
ERR8774514_indels_snpEff_genes	57292.0	0.0	7.7e-05
ERR8774522_indels_snpEff_genes	56558.0	0.0	7.8e-05
ERR8774524_indels_snpEff_genes	60431.0	0.0	7.3e-05
ERR8774534_indels_snpEff_genes	59615.0	0.0	7.4e-05
joint_variants_indels_snpEff_genes	23465.0	0.0	0.000188
