Sample	Upstream Gene Variant	Downstream Gene Variant	Frameshift Variant	Intergenic Region	Conservative Inframe Insertion	Disruptive Inframe Insertion	Disruptive Inframe Deletion	Conservative Inframe Deletion	Non Coding Transcript Exon Variant	Stop Gained	Splice Region Variant
ERR8774458_indels_snpEff_genes	400.0	335.0	41.0	23.0	5.0	4.0	6.0	3.0	2.0	nan	1.0
ERR8774464_indels_snpEff_genes	375.0	298.0	39.0	20.0	6.0	4.0	7.0	2.0	3.0	nan	1.0
ERR8774480_indels_snpEff_genes	380.0	384.0	38.0	23.0	7.0	10.0	3.0	2.0	2.0	nan	1.0
ERR8774482_indels_snpEff_genes	383.0	358.0	41.0	23.0	4.0	7.0	4.0	2.0	2.0	nan	1.0
ERR8774487_indels_snpEff_genes	357.0	320.0	40.0	21.0	4.0	3.0	3.0	1.0	2.0	nan	1.0
ERR8774512_indels_snpEff_genes	412.0	376.0	40.0	22.0	12.0	9.0	5.0	1.0	2.0	nan	1.0
ERR8774514_indels_snpEff_genes	383.0	345.0	39.0	22.0	10.0	3.0	4.0	1.0	3.0	1.0	1.0
ERR8774522_indels_snpEff_genes	384.0	336.0	38.0	21.0	8.0	8.0	6.0	1.0	2.0	1.0	1.0
ERR8774524_indels_snpEff_genes	361.0	324.0	39.0	20.0	8.0	4.0	4.0	2.0	2.0	nan	1.0
ERR8774534_indels_snpEff_genes	368.0	321.0	38.0	22.0	6.0	5.0	4.0	2.0	2.0	nan	1.0
joint_variants_indels_snpEff_genes	819.0	794.0	68.0	35.0	34.0	31.0	17.0	6.0	4.0	4.0	1.0
