Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71
ERR8774458_indels_snpEff_genes	(33, 1)	(34, 1)	(51, 1)	(74, 1)	(78, 1)	(84, 1)	(85, 1)	(90, 1)	(91, 1)	(92, 1)	(93, 1)	(103, 1)	(107, 1)	(125, 1)	(127, 1)	(128, 1)	(129, 1)	(131, 1)	(134, 1)	(148, 1)	(154, 1)	(157, 1)	(162, 1)	(164, 1)	(178, 1)	(180, 1)	(183, 1)	(190, 1)	(195, 1)	(196, 1)	(201, 1)	(204, 1)	(206, 1)	(208, 1)	(212, 1)	(213, 2)	(215, 1)	(218, 1)	(223, 1)	(224, 1)	(225, 11)	(228, 27)																														
ERR8774464_indels_snpEff_genes	(31, 1)	(37, 1)	(45, 1)	(48, 1)	(53, 2)	(56, 1)	(63, 1)	(66, 1)	(69, 1)	(72, 1)	(74, 1)	(85, 1)	(94, 1)	(97, 1)	(102, 1)	(103, 1)	(107, 1)	(116, 1)	(143, 1)	(144, 1)	(147, 1)	(158, 1)	(159, 1)	(171, 1)	(175, 1)	(178, 1)	(180, 1)	(181, 1)	(199, 1)	(218, 1)	(224, 1)	(225, 5)	(226, 2)	(228, 36)																																						
ERR8774480_indels_snpEff_genes	(40, 1)	(43, 1)	(47, 1)	(55, 1)	(62, 1)	(68, 1)	(71, 1)	(76, 1)	(85, 1)	(89, 1)	(92, 1)	(104, 1)	(105, 1)	(106, 1)	(124, 1)	(128, 1)	(130, 1)	(131, 1)	(137, 2)	(139, 1)	(145, 1)	(146, 1)	(152, 1)	(159, 2)	(164, 1)	(169, 2)	(170, 1)	(171, 2)	(172, 1)	(177, 1)	(182, 1)	(191, 1)	(193, 1)	(221, 1)	(228, 42)																																					
ERR8774482_indels_snpEff_genes	(30, 1)	(36, 1)	(44, 2)	(45, 1)	(46, 1)	(72, 1)	(96, 1)	(98, 1)	(101, 1)	(102, 3)	(107, 1)	(135, 1)	(140, 1)	(141, 2)	(155, 2)	(158, 1)	(159, 1)	(163, 1)	(172, 1)	(173, 2)	(178, 1)	(180, 1)	(182, 1)	(198, 1)	(206, 1)	(210, 1)	(216, 1)	(220, 1)	(223, 2)	(225, 3)	(228, 39)																																									
ERR8774487_indels_snpEff_genes	(34, 1)	(54, 1)	(67, 1)	(71, 1)	(87, 1)	(106, 1)	(110, 1)	(111, 2)	(117, 1)	(125, 1)	(133, 1)	(138, 1)	(139, 1)	(156, 1)	(157, 2)	(160, 2)	(170, 1)	(172, 1)	(175, 1)	(188, 1)	(191, 1)	(206, 1)	(211, 1)	(218, 2)	(221, 1)	(225, 6)	(226, 1)	(228, 33)																																												
ERR8774512_indels_snpEff_genes	(32, 1)	(36, 1)	(40, 1)	(52, 1)	(57, 1)	(58, 1)	(67, 1)	(73, 1)	(77, 1)	(81, 1)	(82, 2)	(104, 1)	(114, 1)	(121, 1)	(129, 2)	(132, 1)	(133, 1)	(137, 1)	(139, 1)	(143, 1)	(151, 1)	(152, 1)	(153, 1)	(156, 1)	(157, 1)	(161, 1)	(162, 1)	(163, 1)	(176, 1)	(177, 1)	(180, 2)	(182, 1)	(183, 1)	(185, 1)	(189, 1)	(196, 1)	(198, 1)	(207, 1)	(214, 1)	(221, 1)	(223, 1)	(225, 3)	(228, 38)																													
ERR8774514_indels_snpEff_genes	(45, 1)	(47, 1)	(52, 1)	(54, 1)	(60, 2)	(69, 1)	(80, 1)	(85, 1)	(90, 1)	(121, 1)	(124, 1)	(131, 2)	(132, 1)	(139, 1)	(140, 1)	(143, 1)	(150, 1)	(153, 1)	(163, 1)	(164, 1)	(167, 1)	(169, 1)	(171, 1)	(173, 1)	(183, 1)	(187, 1)	(189, 1)	(197, 1)	(198, 1)	(202, 1)	(213, 1)	(219, 1)	(225, 1)	(226, 1)	(227, 1)	(228, 40)																																				
ERR8774522_indels_snpEff_genes	(45, 1)	(50, 1)	(54, 1)	(55, 1)	(56, 2)	(58, 1)	(59, 1)	(65, 1)	(68, 1)	(79, 2)	(87, 1)	(93, 1)	(106, 1)	(114, 2)	(116, 1)	(125, 1)	(130, 1)	(139, 1)	(140, 1)	(145, 1)	(149, 1)	(151, 1)	(162, 1)	(165, 1)	(170, 1)	(179, 1)	(203, 1)	(206, 1)	(208, 2)	(209, 2)	(220, 1)	(222, 1)	(225, 4)	(228, 37)																																						
ERR8774524_indels_snpEff_genes	(34, 1)	(45, 1)	(46, 1)	(47, 1)	(56, 1)	(58, 1)	(63, 1)	(71, 1)	(73, 1)	(81, 1)	(113, 1)	(115, 1)	(120, 1)	(125, 1)	(135, 1)	(144, 1)	(146, 1)	(152, 1)	(153, 1)	(158, 1)	(162, 2)	(168, 1)	(179, 1)	(183, 1)	(200, 2)	(203, 1)	(204, 1)	(207, 1)	(216, 1)	(225, 3)	(228, 39)																																									
ERR8774534_indels_snpEff_genes	(31, 1)	(37, 1)	(43, 1)	(53, 1)	(79, 1)	(86, 1)	(92, 1)	(105, 1)	(111, 1)	(112, 1)	(116, 1)	(127, 1)	(137, 1)	(141, 1)	(153, 1)	(161, 1)	(164, 2)	(168, 1)	(170, 1)	(173, 1)	(176, 1)	(180, 1)	(182, 1)	(188, 1)	(209, 1)	(212, 1)	(214, 1)	(217, 1)	(218, 1)	(221, 1)	(225, 1)	(228, 42)																																								
