Sample	Number_of_variants_before_filter	Number_of_known_variants (i.e. non-empty ID)	Number_of_known_variants (i.e. non-empty ID)_percent	Number_of_effects	Genome_total_length	Genome_effective_length	Change_rate	HIGH	HIGH_percent	LOW	LOW_percent	MODERATE	MODERATE_percent	MODIFIER	MODIFIER_percent	Missense_Silent_ratio	conservative_inframe_deletion	conservative_inframe_deletion_percent	conservative_inframe_insertion	conservative_inframe_insertion_percent	disruptive_inframe_deletion	disruptive_inframe_deletion_percent	disruptive_inframe_insertion	disruptive_inframe_insertion_percent	downstream_gene_variant	downstream_gene_variant_percent	frameshift_variant	frameshift_variant_percent	intergenic_region	intergenic_region_percent	non_coding_transcript_exon_variant	non_coding_transcript_exon_variant_percent	splice_region_variant	splice_region_variant_percent	upstream_gene_variant	upstream_gene_variant_percent	DOWNSTREAM	DOWNSTREAM_percent	EXON	EXON_percent	INTERGENIC	INTERGENIC_percent	SPLICE_SITE_REGION	SPLICE_SITE_REGION_percent	UPSTREAM	UPSTREAM_percent	Transitions	Transversions	Ts_Tv_ratio	Het	Hom	Missing	stop_gained	stop_gained_percent
ERR8774458_indels_snpEff_genes	79.0	0.0	0.0	819.0	4411532.0	4411532.0	55842.0	41.0	5.006105	1.0	0.1221	18.0	2.197802	759.0	92.673993	0.0	3.0	0.365854	5.0	0.609756	6.0	0.731707	4.0	0.487805	335.0	40.853659	41.0	5.0	23.0	2.804878	2.0	0.243902	1.0	0.121951	400.0	48.780488	335.0	40.903541	60.0	7.326007	23.0	2.808303	1.0	0.1221	400.0	48.840049	0.0	0.0	0.0	79.0	0.0	0.0		
ERR8774464_indels_snpEff_genes	75.0	0.0	0.0	754.0	4411532.0	4411532.0	58820.0	39.0	5.172414	1.0	0.132626	19.0	2.519894	695.0	92.175066	0.0	2.0	0.264901	6.0	0.794702	7.0	0.927152	4.0	0.529801	298.0	39.470199	39.0	5.165563	20.0	2.649007	3.0	0.397351	1.0	0.13245	375.0	49.668874	298.0	39.522546	60.0	7.95756	20.0	2.65252	1.0	0.132626	375.0	49.734748	0.0	0.0	0.0	75.0	0.0	0.0		
ERR8774480_indels_snpEff_genes	80.0	0.0	0.0	849.0	4411532.0	4411532.0	55144.0	38.0	4.475854	1.0	0.117786	22.0	2.591284	788.0	92.815077	0.0	2.0	0.235294	7.0	0.823529	3.0	0.352941	10.0	1.176471	384.0	45.176471	38.0	4.470588	23.0	2.705882	2.0	0.235294	1.0	0.117647	380.0	44.705882	384.0	45.229682	61.0	7.184923	23.0	2.709069	1.0	0.117786	380.0	44.758539	0.0	0.0	0.0	80.0	0.0	0.0		
ERR8774482_indels_snpEff_genes	78.0	0.0	0.0	824.0	4411532.0	4411532.0	56558.0	41.0	4.975728	1.0	0.121359	17.0	2.063107	765.0	92.839806	0.0	2.0	0.242424	4.0	0.484848	4.0	0.484848	7.0	0.848485	358.0	43.393939	41.0	4.969697	23.0	2.787879	2.0	0.242424	1.0	0.121212	383.0	46.424242	358.0	43.446602	59.0	7.160194	23.0	2.791262	1.0	0.121359	383.0	46.480583	0.0	0.0	0.0	78.0	0.0	0.0		
ERR8774487_indels_snpEff_genes	69.0	0.0	0.0	751.0	4411532.0	4411532.0	63935.0	40.0	5.326232	1.0	0.133156	11.0	1.464714	699.0	93.075899	0.0	1.0	0.132979	4.0	0.531915	3.0	0.398936	3.0	0.398936	320.0	42.553191	40.0	5.319149	21.0	2.792553	2.0	0.265957	1.0	0.132979	357.0	47.473404	320.0	42.609854	52.0	6.924101	21.0	2.796272	1.0	0.133156	357.0	47.536618	0.0	0.0	0.0	69.0	0.0	0.0		
ERR8774512_indels_snpEff_genes	85.0	0.0	0.0	879.0	4411532.0	4411532.0	51900.0	40.0	4.550626	1.0	0.113766	27.0	3.071672	811.0	92.263936	0.0	1.0	0.113636	12.0	1.363636	5.0	0.568182	9.0	1.022727	376.0	42.727273	40.0	4.545455	22.0	2.5	2.0	0.227273	1.0	0.113636	412.0	46.818182	376.0	42.775882	68.0	7.736064	22.0	2.502844	1.0	0.113766	412.0	46.871445	0.0	0.0	0.0	85.0	0.0	0.0		
ERR8774514_indels_snpEff_genes	77.0	0.0	0.0	810.0	4411532.0	4411532.0	57292.0	40.0	4.938272	1.0	0.123457	17.0	2.098765	752.0	92.839506	0.0	1.0	0.123153	10.0	1.231527	4.0	0.492611	3.0	0.369458	345.0	42.487685	39.0	4.802956	22.0	2.70936	3.0	0.369458	1.0	0.123153	383.0	47.167488	345.0	42.592593	59.0	7.283951	22.0	2.716049	1.0	0.123457	383.0	47.283951	0.0	0.0	0.0	77.0	0.0	0.0	1.0	0.123153
ERR8774522_indels_snpEff_genes	78.0	0.0	0.0	804.0	4411532.0	4411532.0	56558.0	39.0	4.850746	1.0	0.124378	22.0	2.736318	742.0	92.288557	0.0	1.0	0.124069	8.0	0.992556	6.0	0.744417	8.0	0.992556	336.0	41.687345	38.0	4.71464	21.0	2.605459	2.0	0.248139	1.0	0.124069	384.0	47.64268	336.0	41.791045	62.0	7.711443	21.0	2.61194	1.0	0.124378	384.0	47.761194	0.0	0.0	0.0	78.0	0.0	0.0	1.0	0.124069
ERR8774524_indels_snpEff_genes	73.0	0.0	0.0	764.0	4411532.0	4411532.0	60431.0	39.0	5.104712	1.0	0.13089	18.0	2.356021	706.0	92.408377	0.0	2.0	0.261438	8.0	1.045752	4.0	0.522876	4.0	0.522876	324.0	42.352941	39.0	5.098039	20.0	2.614379	2.0	0.261438	1.0	0.130719	361.0	47.189542	324.0	42.408377	58.0	7.591623	20.0	2.617801	1.0	0.13089	361.0	47.251309	0.0	0.0	0.0	73.0	0.0	0.0		
ERR8774534_indels_snpEff_genes	74.0	0.0	0.0	768.0	4411532.0	4411532.0	59615.0	38.0	4.947917	1.0	0.130208	17.0	2.213542	712.0	92.708333	0.0	2.0	0.260078	6.0	0.780234	4.0	0.520156	5.0	0.650195	321.0	41.742523	38.0	4.941482	22.0	2.860858	2.0	0.260078	1.0	0.130039	368.0	47.854356	321.0	41.796875	56.0	7.291667	22.0	2.864583	1.0	0.130208	368.0	47.916667	0.0	0.0	0.0	74.0	0.0	0.0		
joint_variants_indels_snpEff_genes	188.0	0.0	0.0	1808.0	4411532.0	4411532.0	23465.0	72.0	3.982301	1.0	0.05531	84.0	4.646018	1651.0	91.316372	0.0	6.0	0.330943	34.0	1.875345	17.0	0.937672	31.0	1.709873	794.0	43.794815	68.0	3.750689	35.0	1.930502	4.0	0.220629	1.0	0.055157	819.0	45.173745	794.0	43.915929	159.0	8.794248	35.0	1.935841	1.0	0.05531	819.0	45.298673	0.0	0.0	0.0	142.0	0.0	2.0	4.0	0.220629
