Sample	snpeff-Change_rate	snpeff-Ts_Tv_ratio	snpeff-Number_of_variants_before_filter
ERR8774458_snps_snpEff_genes	5570.0	1.613861	0.000792
ERR8774464_snps_snpEff_genes	5321.0	1.598746	0.000829
ERR8774480_snps_snpEff_genes	5386.0	1.616613	0.000819
ERR8774482_snps_snpEff_genes	5393.0	1.596825	0.000818
ERR8774487_snps_snpEff_genes	5913.0	1.712727	0.000746
ERR8774512_snps_snpEff_genes	5549.0	1.676768	0.000795
ERR8774514_snps_snpEff_genes	5459.0	1.606452	0.000808
ERR8774522_snps_snpEff_genes	5426.0	1.564669	0.000813
ERR8774524_snps_snpEff_genes	5315.0	1.553846	0.00083
ERR8774534_snps_snpEff_genes	5202.0	1.585366	0.000848
joint_variants_snps_snpEff_genes	3354.0	1.577229	0.001315
