Sample	Number_of_variants_before_filter	Number_of_known_variants (i.e. non-empty ID)	Number_of_known_variants (i.e. non-empty ID)_percent	Number_of_effects	Genome_total_length	Genome_effective_length	Change_rate	HIGH	HIGH_percent	LOW	LOW_percent	MODERATE	MODERATE_percent	MODIFIER	MODIFIER_percent	MISSENSE	MISSENSE_percent	NONSENSE	NONSENSE_percent	SILENT	SILENT_percent	Missense_Silent_ratio	downstream_gene_variant	downstream_gene_variant_percent	intergenic_region	intergenic_region_percent	missense_variant	missense_variant_percent	non_coding_transcript_exon_variant	non_coding_transcript_exon_variant_percent	splice_region_variant	splice_region_variant_percent	start_lost	start_lost_percent	stop_gained	stop_gained_percent	stop_lost	stop_lost_percent	synonymous_variant	synonymous_variant_percent	upstream_gene_variant	upstream_gene_variant_percent	DOWNSTREAM	DOWNSTREAM_percent	EXON	EXON_percent	INTERGENIC	INTERGENIC_percent	UPSTREAM	UPSTREAM_percent	Transitions	Transversions	Ts_Tv_ratio	Het	Hom	Missing
ERR8774458_snps_snpEff_genes	792.0	0.0	0.0	8026.0	4411532.0	4411532.0	5570.0	10.0	0.124595	281.0	3.501121	399.0	4.971343	7336.0	91.40294	401.0	58.115942	8.0	1.15942	281.0	40.724638	1.427046	3632.0	45.24729	86.0	1.071384	399.0	4.970724	17.0	0.211785	1.0	0.012458	1.0	0.012458	8.0	0.099664	1.0	0.012458	281.0	3.500685	3601.0	44.861094	3632.0	45.252928	707.0	8.808871	86.0	1.071518	3601.0	44.866683	489.0	303.0	1.613861	792.0	0.0	0.0
ERR8774464_snps_snpEff_genes	829.0	0.0	0.0	8244.0	4411532.0	4411532.0	5321.0	9.0	0.10917	302.0	3.66327	421.0	5.106744	7512.0	91.120815	423.0	57.786885	7.0	0.956284	302.0	41.256831	1.400662	3747.0	45.445725	79.0	0.958156	421.0	5.106125	20.0	0.242571	1.0	0.012129	1.0	0.012129	7.0	0.0849	1.0	0.012129	302.0	3.662826	3666.0	44.463311	3747.0	45.451237	752.0	9.121786	79.0	0.958273	3666.0	44.468705	510.0	319.0	1.598746	829.0	0.0	0.0
ERR8774480_snps_snpEff_genes	819.0	0.0	0.0	8349.0	4411532.0	4411532.0	5386.0	10.0	0.119775	295.0	3.533357	408.0	4.886813	7636.0	91.460055	410.0	57.503506	8.0	1.12202	295.0	41.374474	1.389831	3898.0	46.682635	88.0	1.053892	408.0	4.886228	19.0	0.227545	1.0	0.011976	1.0	0.011976	8.0	0.095808	1.0	0.011976	295.0	3.532934	3631.0	43.48503	3898.0	46.688226	732.0	8.767517	88.0	1.054018	3631.0	43.490238	506.0	313.0	1.616613	819.0	0.0	0.0
ERR8774482_snps_snpEff_genes	818.0	0.0	0.0	8356.0	4411532.0	4411532.0	5393.0	10.0	0.119674	298.0	3.5663	403.0	4.822882	7645.0	91.491144	405.0	56.962025	8.0	1.125176	298.0	41.912799	1.35906	3885.0	46.487974	90.0	1.076941	403.0	4.822305	18.0	0.215388	1.0	0.011966	1.0	0.011966	8.0	0.095728	1.0	0.011966	298.0	3.565873	3652.0	43.699892	3885.0	46.493538	729.0	8.72427	90.0	1.07707	3652.0	43.705122	503.0	315.0	1.596825	818.0	0.0	0.0
ERR8774487_snps_snpEff_genes	746.0	0.0	0.0	7629.0	4411532.0	4411532.0	5913.0	9.0	0.117971	263.0	3.447372	386.0	5.059641	6971.0	91.375016	388.0	58.966565	7.0	1.06383	263.0	39.969605	1.475285	3466.0	45.42595	70.0	0.917431	386.0	5.058978	20.0	0.262123	1.0	0.013106	1.0	0.013106	7.0	0.091743	1.0	0.013106	263.0	3.44692	3415.0	44.757536	3466.0	45.431905	678.0	8.887141	70.0	0.917551	3415.0	44.763403	471.0	275.0	1.712727	746.0	0.0	0.0
ERR8774512_snps_snpEff_genes	795.0	0.0	0.0	7990.0	4411532.0	4411532.0	5549.0	9.0	0.112641	291.0	3.642053	399.0	4.993742	7291.0	91.251564	401.0	57.367668	7.0	1.001431	291.0	41.630901	1.378007	3651.0	45.6889	78.0	0.976098	399.0	4.993117	20.0	0.250282	1.0	0.012514	1.0	0.012514	7.0	0.087599	1.0	0.012514	291.0	3.641597	3542.0	44.324865	3651.0	45.694618	719.0	8.998748	78.0	0.97622	3542.0	44.330413	498.0	297.0	1.676768	795.0	0.0	0.0
ERR8774514_snps_snpEff_genes	808.0	0.0	0.0	8110.0	4411532.0	4411532.0	5459.0	9.0	0.110974	292.0	3.600493	414.0	5.104809	7395.0	91.183724	416.0	58.181818	7.0	0.979021	292.0	40.839161	1.424658	3683.0	45.407471	76.0	0.936999	414.0	5.10418	19.0	0.23425	1.0	0.012329	1.0	0.012329	7.0	0.086303	1.0	0.012329	292.0	3.600049	3617.0	44.593762	3683.0	45.41307	734.0	9.050555	76.0	0.937115	3617.0	44.59926	498.0	310.0	1.606452	808.0	0.0	0.0
ERR8774522_snps_snpEff_genes	813.0	0.0	0.0	8127.0	4411532.0	4411532.0	5426.0	9.0	0.110742	295.0	3.629876	415.0	5.106435	7408.0	91.152947	417.0	57.997218	7.0	0.973574	295.0	41.029207	1.413559	3681.0	45.287894	77.0	0.947343	415.0	5.105807	19.0	0.23376	1.0	0.012303	1.0	0.012303	7.0	0.086122	1.0	0.012303	295.0	3.629429	3631.0	44.672736	3681.0	45.293466	738.0	9.080842	77.0	0.947459	3631.0	44.678233	496.0	317.0	1.564669	813.0	0.0	0.0
ERR8774524_snps_snpEff_genes	830.0	0.0	0.0	8278.0	4411532.0	4411532.0	5315.0	9.0	0.108722	300.0	3.624064	428.0	5.170331	7541.0	91.096883	430.0	58.34464	7.0	0.949796	300.0	40.705563	1.433333	3739.0	45.162459	75.0	0.905907	428.0	5.169706	20.0	0.241575	1.0	0.012079	1.0	0.012079	7.0	0.084551	1.0	0.012079	300.0	3.623626	3707.0	44.775939	3739.0	45.167915	757.0	9.144721	75.0	0.906016	3707.0	44.781348	505.0	325.0	1.553846	830.0	0.0	0.0
ERR8774534_snps_snpEff_genes	848.0	0.0	0.0	8462.0	4411532.0	4411532.0	5202.0	10.0	0.118175	307.0	3.627984	436.0	5.152446	7709.0	91.101394	438.0	58.167331	8.0	1.062417	307.0	40.770252	1.42671	3825.0	45.196739	77.0	0.909843	436.0	5.151837	20.0	0.236323	1.0	0.011816	1.0	0.011816	8.0	0.094529	1.0	0.011816	307.0	3.627555	3787.0	44.747725	3825.0	45.20208	773.0	9.134956	77.0	0.90995	3787.0	44.753013	520.0	328.0	1.585366	848.0	0.0	0.0
