Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
ERR8774458_snps_snpEff_genes	(40, 1)	(42, 1)	(66, 1)	(72, 2)	(91, 1)	(92, 1)	(116, 1)	(136, 1)	(145, 1)	(149, 1)	(150, 1)	(152, 1)	(161, 1)	(165, 1)	(166, 1)	(170, 1)	(174, 1)	(176, 1)	(181, 1)	(182, 1)	(183, 1)	(186, 1)	(192, 1)	(194, 1)	(201, 1)	(206, 2)	(209, 1)	(210, 2)	(218, 1)	(220, 2)	(221, 1)	(222, 1)	(224, 1)	(225, 717)	(228, 38)																																																																	
ERR8774464_snps_snpEff_genes	(31, 1)	(36, 1)	(37, 1)	(57, 1)	(71, 1)	(98, 1)	(121, 1)	(124, 1)	(125, 1)	(127, 1)	(144, 2)	(152, 1)	(154, 1)	(164, 1)	(166, 1)	(168, 1)	(170, 4)	(173, 1)	(174, 2)	(175, 1)	(177, 1)	(180, 1)	(181, 1)	(182, 1)	(184, 1)	(188, 1)	(189, 1)	(190, 1)	(193, 1)	(195, 1)	(197, 1)	(198, 1)	(199, 1)	(201, 2)	(205, 1)	(206, 5)	(207, 1)	(208, 1)	(210, 1)	(211, 1)	(213, 3)	(216, 1)	(218, 1)	(223, 1)	(225, 730)	(228, 43)																																																						
ERR8774480_snps_snpEff_genes	(100, 1)	(102, 1)	(123, 1)	(124, 1)	(139, 1)	(144, 1)	(148, 1)	(152, 1)	(153, 2)	(154, 2)	(155, 3)	(156, 1)	(158, 1)	(159, 1)	(161, 2)	(164, 1)	(170, 1)	(177, 1)	(181, 1)	(186, 1)	(190, 1)	(196, 1)	(198, 1)	(205, 2)	(206, 1)	(210, 1)	(214, 1)	(215, 1)	(217, 1)	(218, 1)	(219, 1)	(225, 707)	(228, 75)																																																																			
ERR8774482_snps_snpEff_genes	(36, 1)	(48, 1)	(57, 1)	(83, 1)	(93, 1)	(98, 1)	(99, 1)	(111, 1)	(139, 1)	(140, 2)	(143, 4)	(145, 1)	(149, 1)	(158, 2)	(162, 1)	(165, 3)	(169, 1)	(170, 1)	(172, 1)	(177, 1)	(181, 1)	(185, 1)	(189, 1)	(190, 1)	(193, 1)	(195, 1)	(196, 2)	(197, 1)	(210, 1)	(217, 1)	(220, 1)	(225, 704)	(228, 75)																																																																			
ERR8774487_snps_snpEff_genes	(70, 1)	(88, 1)	(100, 1)	(135, 2)	(150, 1)	(157, 1)	(160, 2)	(161, 1)	(162, 2)	(165, 1)	(166, 1)	(167, 1)	(182, 1)	(191, 1)	(194, 1)	(205, 1)	(208, 2)	(213, 2)	(218, 2)	(222, 1)	(223, 1)	(224, 2)	(225, 680)	(227, 1)	(228, 36)																																																																											
ERR8774512_snps_snpEff_genes	(30, 1)	(31, 1)	(124, 1)	(128, 1)	(134, 1)	(143, 1)	(144, 1)	(148, 1)	(151, 1)	(152, 1)	(162, 1)	(164, 1)	(170, 1)	(173, 1)	(179, 2)	(183, 1)	(185, 1)	(188, 1)	(190, 1)	(191, 2)	(197, 1)	(199, 1)	(200, 2)	(201, 1)	(204, 5)	(208, 1)	(211, 1)	(212, 1)	(216, 1)	(218, 1)	(219, 1)	(221, 1)	(225, 679)	(228, 77)																																																																		
ERR8774514_snps_snpEff_genes	(36, 1)	(100, 1)	(101, 1)	(104, 1)	(120, 1)	(121, 1)	(133, 1)	(136, 1)	(145, 1)	(148, 1)	(149, 1)	(150, 2)	(151, 1)	(152, 1)	(155, 3)	(158, 1)	(167, 2)	(168, 2)	(169, 1)	(170, 1)	(175, 1)	(183, 1)	(194, 1)	(195, 3)	(196, 1)	(199, 1)	(200, 3)	(201, 3)	(202, 2)	(208, 1)	(211, 1)	(212, 1)	(215, 1)	(218, 1)	(225, 702)	(228, 60)																																																																
ERR8774522_snps_snpEff_genes	(52, 1)	(62, 1)	(73, 1)	(79, 1)	(95, 1)	(98, 2)	(103, 1)	(116, 1)	(123, 1)	(129, 1)	(143, 1)	(146, 1)	(148, 3)	(152, 1)	(153, 2)	(154, 1)	(155, 1)	(156, 1)	(157, 1)	(160, 1)	(161, 1)	(166, 2)	(167, 1)	(171, 1)	(176, 1)	(179, 2)	(180, 6)	(181, 1)	(184, 1)	(186, 1)	(187, 1)	(190, 1)	(191, 1)	(199, 1)	(200, 1)	(202, 2)	(205, 2)	(208, 3)	(209, 1)	(211, 2)	(218, 1)	(225, 700)	(226, 1)	(227, 1)	(228, 54)																																																							
ERR8774524_snps_snpEff_genes	(30, 1)	(46, 1)	(56, 3)	(68, 1)	(70, 1)	(83, 1)	(119, 1)	(131, 2)	(144, 2)	(147, 1)	(149, 1)	(150, 2)	(159, 1)	(162, 1)	(168, 2)	(171, 1)	(181, 2)	(184, 1)	(185, 2)	(189, 1)	(193, 1)	(194, 1)	(196, 2)	(200, 1)	(203, 1)	(216, 1)	(217, 2)	(218, 2)	(220, 1)	(221, 2)	(222, 1)	(223, 7)	(224, 2)	(225, 693)	(227, 1)	(228, 84)																																																																
ERR8774534_snps_snpEff_genes	(34, 1)	(58, 1)	(62, 1)	(77, 1)	(90, 1)	(102, 1)	(123, 1)	(137, 1)	(138, 1)	(146, 1)	(152, 2)	(160, 1)	(162, 1)	(164, 1)	(165, 2)	(168, 2)	(169, 3)	(170, 5)	(171, 1)	(172, 1)	(173, 1)	(177, 1)	(180, 1)	(181, 1)	(186, 1)	(189, 1)	(190, 1)	(191, 1)	(202, 1)	(205, 1)	(207, 1)	(208, 1)	(210, 1)	(218, 1)	(219, 2)	(220, 1)	(223, 1)	(224, 2)	(225, 723)	(228, 76)																																																												
