Sample	Nonsense	Silent	Missense
ERR8774458_snps_snpEff_genes	8.0	281.0	401.0
ERR8774464_snps_snpEff_genes	7.0	302.0	423.0
ERR8774480_snps_snpEff_genes	8.0	295.0	410.0
ERR8774482_snps_snpEff_genes	8.0	298.0	405.0
ERR8774487_snps_snpEff_genes	7.0	263.0	388.0
ERR8774512_snps_snpEff_genes	7.0	291.0	401.0
ERR8774514_snps_snpEff_genes	7.0	292.0	416.0
ERR8774522_snps_snpEff_genes	7.0	295.0	417.0
ERR8774524_snps_snpEff_genes	7.0	300.0	430.0
ERR8774534_snps_snpEff_genes	8.0	307.0	438.0
joint_variants_snps_snpEff_genes	12.0	460.0	683.0
