Sample	High	Low	Moderate	Modifier
ERR8774458_snps_snpEff_genes	10.0	281.0	399.0	7336.0
ERR8774464_snps_snpEff_genes	9.0	302.0	421.0	7512.0
ERR8774480_snps_snpEff_genes	10.0	295.0	408.0	7636.0
ERR8774482_snps_snpEff_genes	10.0	298.0	403.0	7645.0
ERR8774487_snps_snpEff_genes	9.0	263.0	386.0	6971.0
ERR8774512_snps_snpEff_genes	9.0	291.0	399.0	7291.0
ERR8774514_snps_snpEff_genes	9.0	292.0	414.0	7395.0
ERR8774522_snps_snpEff_genes	9.0	295.0	415.0	7408.0
ERR8774524_snps_snpEff_genes	9.0	300.0	428.0	7541.0
ERR8774534_snps_snpEff_genes	10.0	307.0	436.0	7709.0
joint_variants_snps_snpEff_genes	14.0	460.0	681.0	12042.0
