Sample	Intergenic	Exon	Upstream	Downstream
ERR8774458_snps_snpEff_genes	86.0	707.0	3601.0	3632.0
ERR8774464_snps_snpEff_genes	79.0	752.0	3666.0	3747.0
ERR8774480_snps_snpEff_genes	88.0	732.0	3631.0	3898.0
ERR8774482_snps_snpEff_genes	90.0	729.0	3652.0	3885.0
ERR8774487_snps_snpEff_genes	70.0	678.0	3415.0	3466.0
ERR8774512_snps_snpEff_genes	78.0	719.0	3542.0	3651.0
ERR8774514_snps_snpEff_genes	76.0	734.0	3617.0	3683.0
ERR8774522_snps_snpEff_genes	77.0	738.0	3631.0	3681.0
ERR8774524_snps_snpEff_genes	75.0	757.0	3707.0	3739.0
ERR8774534_snps_snpEff_genes	77.0	773.0	3787.0	3825.0
joint_variants_snps_snpEff_genes	142.0	1175.0	5778.0	6102.0
